BENMORE (YOUNGER BOTANIC GDN),,,,,,,,,,,,,,,,,,,,
Grid ref,NS 141 856,Long,-4.984007,Lat,56.02759,Elevation,40,ft,,,,,,,,,,,,
Station no,5433/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,12,8.63,10.12,10.28,7.14,10.87,6.14,7.01,14.07,11.42,3.45,7.31
February,,,,,,,,,10,9.55,5.66,4.46,5.43,8.87,6.43,2.71,7.74,5.49,3.9,9.5
March,,,,,,,,,5.99,6.19,5.95,8.54,3.33,7.29,3.01,5.05,10.72,1.99,6.57,3.88
April,,,,,,,,,13.03,6.55,5.62,3.68,5.08,4.85,6.18,3.02,3.52,3.94,8.52,9.63
May,,,,,,,,,3.97,2.47,2.64,2.8,4.1,6.27,6.57,5.54,3.89,5.7,2.81,4.45
June,,,,,,,,,2.23,3.85,2.48,5.15,1.97,6.43,6.76,5.4,3.65,3.78,4.81,4.52
July,,,,,,,,,4.27,9.09,6.21,5.32,10.28,6.81,1.26,8.65,7.79,5.6,9.34,8.4
August,,,,,,,,,8.19,9.02,6.63,9.36,8.16,7.89,1.98,7.71,8.01,8.61,2.56,5.31
September,,,,,,,,,3.86,19.07,6.74,5.93,13.03,13.96,9.7,6.72,6.36,7.37,2.67,4.57
October,,,,,,,,,13.43,12.36,3.24,10.25,6.63,16.23,6.67,7.27,10.69,8.71,9.57,5.46
November,,,,,,,,,11.98,5.99,12.98,4.34,18.86,15.41,4.98,5.88,3.39,3.2,9.06,9.44
December,,,,,,,,,17.98,4.18,16.88,11.01,9.73,17.05,14.57,15.04,10.09,9.91,15.14,10.46
Total,,,,,,,,,106.93,96.95,85.15,81.12,93.74,121.93,74.25,80,89.92,75.72,78.4,82.93
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
