"LOCH ECK, BENMORE",,,,,,,,,,,,
Grid ref,NS139856,Long,-4.987996,Lat,56.027048,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,13.07,6.95,9.37,14.72,10.57,8.46,12.33,8.04,11.41,11.51,,
February,5.17,3.46,3.61,13.80,7.57,8.30,8.09,6.74,9.08,5.49,,
March,1.08,5.61,7.82,14.34,4.45,9.81,7.92,9.02,9.92,3.34,,
April,6.49,6.71,3.50,3.44,10.34,6.27,3.96,4.94,3.69,5.75,,
May,8.57,2.67,3.70,4.22,5.34,3.10,7.62,8.14,4.62,5.45,,
June,5.90,6.60,2.02,1.97,4.38,2.11,2.47,7.44,4.59,5.00,,
July,4.52,2.40,5.76,6.84,4.48,4.67,5.23,3.55,6.37,7.18,,
August,7.19,7.05,4.85,12.11,6.58,9.08,7.03,11.64,6.08,5.73,,
September,8.82,7.06,8.35,6.37,10.04,6.84,4.30,3.37,13.23,3.27,,
October,9.18,10.12,5.42,15.56,6.17,8.13,12.73,6.85,3.26,12.26,,
November,11.58,8.67,8.77,8.06,5.72,11.52,8.44,8.83,6.99,6.83,,
December,16.40,9.85,10.60,9.55,10.05,8.55,9.31,12.08,11.16,10.32,,
Total,97.97,77.15,73.77,110.98,85.69,86.84,89.43,90.64,90.40,82.13,,
Calc annual,97.97,77.15,73.77,110.98,85.69,86.84,89.43,90.64,90.40,82.13,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
