GREENOCK SHAWS W.W. GLENBRAE NO6,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 29103 71942,Long,-4.735685,Lat,55.910136,Elevation,574,ft,,,,,,,,,,,,
Station no,RR8922,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,11.6,11.9,9.6,10.6,6,11.3,7.9,2,4.7,0.8,7.6,8.8,10.2,6,6,6.4,6.4,
February,,,7.5,1.7,2.3,2.6,7,6.7,4,3.1,7.2,5.23,6.2,8.9,8.4,7,2.7,5.9,1.8,
March,,,5.1,3,6.1,2.6,7.1,4.2,3.1,7.1,4.5,5.69,6.5,3,3.8,5.1,4.9,2.6,4.8,
April,,,2,0.5,3.7,2.5,3.3,5.5,3.7,2.5,5,3.23,3.1,3.6,2.4,3.7,3.8,3.8,3.5,
May,,1.6,3.5,4.1,2.4,4.1,0.9,4,5.4,3,1.9,4.15,3.1,3.6,5.2,3.7,4.4,1.6,6.8,
June,,3,8.2,3.3,1.9,3.5,5,5.9,3.9,6.1,2.8,7.18,4.8,3.7,1.3,1.8,1.9,2,3.6,
July,,4.1,4.8,6.2,3.5,2.5,3.7,5.8,1.2,5.1,3.9,6.33,7.7,3.6,7.4,3,4.1,4.9,7.2,
August,,5,5,7.2,6.2,4.8,7.2,10,3.8,6.2,2.3,5.68,3.8,6.2,3.3,3.7,3.8,4.5,5.2,
September,,3.4,11.4,8.5,8.8,5.3,3.8,2.9,6.7,10.6,3.8,3.9,5,3.9,5.3,9.5,8.5,6.5,3.1,
October,,7.3,6,9,12.2,8.6,8.6,10.1,9.6,3.8,0.8,3.62,5.5,7.5,7.9,5.1,5.5,4.3,3.7,
November,,4.7,10.8,5.7,6,6.3,3.2,12.7,2.7,2.3,9.4,9.72,9.1,10.2,6.1,4.6,6.7,5.8,9.7,
December,,9,9.1,6.8,2.3,7.1,10.4,10.8,2.4,5.4,6.4,9.4,7.6,8.1,10.5,4.2,6.2,6,7.7,
Total,,,85,67.9,65,60.5,66.2,89.9,54.4,57.2,52.7,64.93,70,71.1,71.8,57.4,58.5,54.3,63.5,
,,,,,,,,,,,,,,,,,,,,
Location now under Reservoir,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8922,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
