"EAST LAYTON",,,,,,,,,,,,
Grid ref,NZ163099,Long,-1.749922,Lat,54.484188,,,,,,,
Station no,RR1925,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.32,1.87,0.70,3.32,2.57,0.85,3.51,1.01,0.96,1.43,,
February,6.71,1.37,0.95,2.49,2.39,0.84,1.56,1.56,3.34,1.35,,
March,0.87,2.90,0.85,3.45,2.44,2.26,1.22,1.45,3.90,4.19,,
April,1.49,1.72,1.53,1.40,1.65,2.55,0.79,1.91,2.52,2.91,,
May,2.09,1.49,2.72,4.58,3.33,0.98,3.66,4.46,2.20,1.61,,
June,3.41,1.46,1.69,2.12,1.21,1.08,1.51,3.27,1.19,2.30,,
July,1.96,3.42,2.81,3.43,1.59,0.76,1.39,2.15,3.11,2.32,,
August,6.58,2.37,2.09,1.89,3.15,3.84,2.20,1.38,2.00,2.85,,
September,0.67,1.89,0.65,3.04,0.82,2.28,0.61,0.50,2.92,2.13,,
October,4.16,1.63,3.24,8.27,0.99,1.76,4.79,5.41,2.29,2.59,,
November,4.02,5.00,2.22,1.42,2.20,5.31,2.75,2.45,1.33,0.53,,
December,2.12,2.61,2.32,1.63,2.04,0.42,2.23,3.41,0.95,3.54,,
Total,36.40,27.73,21.77,37.04,24.38,22.93,26.22,28.96,26.71,27.75,,
Calc annual,36.40,27.73,21.77,37.04,24.38,22.93,26.22,28.96,26.71,27.75,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
