EAST LAYTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ163099,Long,-1.749922,Lat,54.484188,Elevation,575,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918
January,,,,,,,0.76,4.89,2.26,0.52,0.41,0.92,1.67,3.58,4.31,1.86,1.94,2.63,0.97,0.67,2.85,1.01,1.67,1.81,1.79,3.44,0.86,1.16,1.16,3.2,2.32,1.87,0.7,3.32,2.57,0.85,3.51,1.01,0.96,1.43,2.78,1.34,3.22,4.05,,,,,
February,,,,,,,2.63,1.47,1.63,4.07,0.76,3.71,1.22,2.28,1.35,1.69,1.63,1.09,0.81,1.25,0.99,0,2.3,3.1,4.52,0.88,0.56,2.07,1.67,2.14,6.71,1.37,0.95,2.49,2.39,0.84,1.56,1.56,3.34,1.35,3.1,2.14,2.17,0.88,,,,,
March,,,,,,,3.65,2.84,0.71,1.31,0.46,4.01,2.26,1.51,3.16,2.07,3.48,2.16,4.23,2.08,1.69,1.68,0.89,0.4,1.39,2.37,3.36,4.08,1.17,0.58,0.87,2.9,0.85,3.45,2.44,2.26,1.22,1.45,3.9,4.19,0.69,1.76,2.77,4.44,,,,,
April,,,,,,,3.28,4.49,1.87,2.79,2.3,1.31,4.2,2.43,1.84,1.96,1.89,0.97,2.34,3.6,0.81,4.4,0.97,0.54,2.03,1.97,0.92,2.18,2.66,2.55,1.49,1.72,1.53,1.4,1.65,2.55,0.79,1.91,2.52,2.91,2.62,1.03,0,4.07,,,,,
May,,,,,,,0.86,2.38,5.79,1.28,1.54,1.3,1.55,1.56,0.6,3.56,4.98,1.95,1.32,2.05,2.29,2.12,2.58,2.16,2.39,0.85,0.68,1.28,2.38,4.13,2.09,1.49,2.72,4.58,3.33,0.98,3.66,4.46,2.2,1.61,2.23,1.07,2.71,2.47,,,,,
June,,,,,,,2.69,1.69,3.11,5.29,1.58,1.86,3.74,1.92,0.63,2.04,1.2,0,2.1,0.22,3.39,1.42,3.78,1.08,4,1.57,4.2,2.44,2.14,2.23,3.41,1.46,1.69,2.12,1.21,1.08,1.51,3.27,1.19,2.3,2.38,3.37,5.87,2.04,,,,,
July,,,,,,,1.77,3.84,0.55,3.24,5.7,3.54,3.98,2.8,5.18,0.6,4.26,1.46,4.46,2.08,2.7,3.94,1.21,2.84,2.52,6.23,2.33,1.07,0.8,3.32,1.96,3.42,2.81,3.43,1.59,0.76,1.39,2.15,3.11,2.32,3.02,0.26,3.25,1.21,,,,,
August,,,,,,2.81,2.23,5.34,4.55,3.68,1.84,6.96,1.88,1.79,0.89,1.69,1.45,1.86,1.48,4.17,5.39,4.14,4.01,2.26,2.37,1.98,1.63,1.88,2.41,1.26,6.58,2.37,2.09,1.89,3.15,3.84,2.2,1.38,2,2.85,3.4,2.1,5.13,0.76,,,,,
September,,,,,,3.03,4.68,2.3,1.72,1.41,4.82,3.62,1.81,3.82,1.56,1.93,2.55,3.11,1.3,0.66,1.69,1.88,2.76,1.29,0.98,0.59,4.07,2.54,0.64,3.1,0.67,1.89,0.65,3.04,0.82,2.28,0.61,0.5,2.92,2.13,0.21,2.3,2.24,2.16,,,,,
October,,,,,,5.21,2.13,2.97,1.82,1.04,5.08,3.88,3.3,2.65,1.23,5.45,5.72,1.77,0.54,5.3,1.6,3.88,5.34,1.15,5.45,3.38,3.61,1.93,4.14,1.97,4.16,1.63,3.24,8.27,0.99,1.76,4.79,5.41,2.29,2.59,2.64,2.88,2.22,2.88,,,,,
November,,,,,,5.29,3.96,3.4,4.18,1.61,2.37,3.38,3.37,1.42,1.55,2.25,3.24,3.67,5.9,1.05,4.26,3.08,1.2,1.83,1.3,4.76,1.22,1.07,2.14,1.92,4.02,5,2.22,1.42,2.2,5.31,2.75,2.45,1.33,0.53,2.46,4.07,1.53,1.73,,,,,
December,,,,,,1.58,7.95,1.8,2.3,1.11,3.1,3.39,3.93,0.91,2.66,0.61,3.32,1.74,1.41,1.22,0.93,3.16,0.25,2.88,1.88,2.13,4.18,2.7,2.4,2.51,2.12,2.61,2.32,1.63,2.04,0.42,2.23,3.41,0.95,3.54,3.56,5.31,2.95,1.62,,,,,
Total,,,,,,,36.59,37.41,30.49,27.35,29.96,37.88,32.91,26.67,24.96,25.71,35.66,22.41,26.86,24.35,28.59,30.71,26.96,21.34,30.62,30.15,27.62,24.4,23.71,28.91,36.4,27.73,21.77,37.04,24.38,22.93,26.22,28.96,26.71,27.75,29.09,27.63,34.06,28.31,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875 Jan-July from Birmingham. Records starts properly Aug 1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
