CHEADLE-TEAN-VICARAGE-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK013393,Long,-1.9820983,Lat,52.951079,Elevation,470,,,,,,,,,,,,,
Station no,RR2288,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,4.24,1.9,5.05,3.27,1.99,0.47,0.5,2.74,3.91,,,,,,
February,,,,,,1.29,3.41,3.57,1.81,3.87,2.76,5.21,2.76,2.16,,,,,,
March,,,,,,0.85,3.7,3.3,0.98,1.15,2.35,2.56,2.04,1.05,,,,,,
April,,,,,,0.48,3.97,2.07,2.26,2.63,1.4,1.34,4.3,1.71,,,,,,
May,,,,,,1.65,1.33,3.44,4.61,2.6,2.58,2.26,2.53,0.59,,,,,,
June,,,,,,3.14,2.74,2.19,3.75,6.41,3,2.87,6.26,3.37,,,,,,
July,,,,,,7.82,2.8,-999,2.09,4.1,6.56,2.27,3.82,2.65,,,,,,
August,,,,,,2.59,2.95,-999,7.03,8.06,2.88,5.95,2.8,1.75,,,,,,
September,,,,,,4.87,5.65,2.11,2.77,2.87,3.61,2.22,2.15,6.32,,,,,,
October,,,,,,6.28,3.46,3.46,3.71,1.3,3.91,3.58,5.26,3.78,,,,,,
November,,,,,,4.11,3.97,3.59,2.72,1.48,3.11,3.51,5.36,3.62,,,,,,
December,,,,,,1.69,6.14,3.02,2.81,1.38,5.17,3.31,5.96,1.57,,,,,,
Total,,,,,,39.01,42.02,41.13,37.81,37.84,37.8,35.58,45.98,32.48,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is the vicarage in Upper Tean, as described in the record. Altitudes match",,,,,,,,,,,,,,,,,,,,
