"HENDON CENTRAL SCHOOL",,,,,,,,,,,,
Grid ref,TQ236897,Long,-0.217111,Lat,51.592600,,,,,,,
Station no,863,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.04,0.89,1.66,0.58,,
February,,,,,,,1.84,1.03,1.58,0.49,,
March,,,,,,,1.12,0.93,2.72,2.86,,
April,,,,,,,0.70,3.26,2.53,1.61,,
May,,,,,,,1.78,1.63,1.70,1.59,,
June,,,,,,,2.76,2.16,1.04,3.27,,
July,,,,,,,0.68,2.12,3.58,3.31,,
August,,,,,,,0.83,1.98,2.24,1.40,,
September,,,,,,,1.85,0.60,1.23,2.65,,
October,,,,,,,3.48,3.28,1.71,3.65,,
November,,,,,,,4.46,1.91,0.78,0.69,,
December,,,,,,,2.32,3.47,2.16,2.50,,
Total,,,,,,,24.86,23.26,22.93,24.60,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,24.86,23.26,22.93,24.60,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
