RAVENGLASS NEWTOWN,,,,,,,,,,
Grid ref,SD093956,Long,-3.3968519,Lat,54.347845,Elevation,130,ft,,
Station no,RR8863,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,4.37,2.6,2.47,4.86,5.06
February,,,,,,7.1,3.47,1.47,4.42,0.67
March,,,,,,2.19,1.21,2.62,1.47,4.96
April,,,,,,3.07,2.82,2.42,1.12,3.25
May,,,,,,1.24,3.02,3.35,2.03,1.85
June,,,,,,1.19,3.81,2.68,1.86,1.7
July,,,,,,4.95,2.8,1.11,5.54,1
August,,,,,,3.97,2.35,-999,4.21,3.52
September,,,,,,1.36,3.21,-999,8.85,4.29
October,,,,,,2.16,7.42,-999,4.43,3.07
November,,,,,,1.73,5.93,-999,2.77,4.27
December,,,,,,8,4.48,3.2,7.37,6.38
Total,,,,,,41.33,43.12,43.76,48.93,40.02
,,,,,,,,,,
"1917 Aug/Sept bracketed 12.38""; Oct/Nov bracketed 12.06""",,,,,,,,,,
