"DURRIS HOUSE (DRUMOAK)",,,,,,,,,,,,
Grid ref,NO799968,Long,-2.333047,Lat,57.061805,,,,,,,
Station no,RR2752,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,4.98,1.62,0.86,2.28,1.85,1.77,1.15,,
February,,,,4.47,7.19,1.46,1.77,3.50,0.97,0.68,,
March,,,,3.56,3.66,4.38,2.89,1.23,4.60,5.71,,
April,,,,3.22,1.52,2.79,1.96,1.62,1.94,3.36,,
May,,,,2.55,3.01,1.36,6.27,5.81,1.63,2.67,,
June,,,,1.31,1.02,0.51,0.34,3.97,1.37,1.56,,
July,,,,5.26,1.49,1.81,2.35,1.75,2.16,5.11,,
August,,,,5.68,3.15,4.41,3.14,2.70,1.74,2.68,,
September,,,,3.45,1.88,2.19,0.67,1.00,4.49,1.55,,
October,,,,7.24,0.62,3.82,6.45,5.69,3.50,2.73,,
November,,,,2.06,1.31,11.54,5.87,2.94,1.31,1.73,,
December,,,,5.82,2.55,1.11,2.41,3.71,1.40,3.69,,
Total,41.14,31.98,37.17,49.60,29.02,36.24,36.40,35.77,26.88,32.62,,
Calc annual,0.00,0.00,0.00,49.60,29.02,36.24,36.40,35.77,26.88,32.62,,
Difference,41.14,31.98,37.17,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
