MITCHAM-LONDON-ROAD-(CEMETERY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ278701,Long,-0.16287,Lat,51.416,Elevation,62,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,106/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,1.88,3.68,2.01,2.42,2.05,4.58,1.27,,1.46,1.31,2.92,0.97,0.97,2.79,2.01,1.04,1.23,2.51,3.7,1.41,1.85,1.97,1.74
February,,,,,,,,0.59,1.01,1.48,1.5,0.76,1.34,0.74,,2.25,1.28,1.19,0.92,3.66,6.14,0.99,1.16,2,1.46,0.4,2.75,2.38,0.06,1.44
March,,,,,,,,0.3,0.97,3.01,2.85,1.85,0.26,0.07,,1.3,4.68,0.7,0.83,0.62,2.83,2.69,0.55,2.12,1.08,0.82,0.63,1.23,1.8,1.79
April,,,,,,,,0.13,2.28,1.84,1.28,0.6,0.64,1.18,,1.89,1.59,1.27,1.64,2.98,2.22,1.35,2.08,0.31,0.26,1.19,0.33,1.41,1.58,0.72
May,,,,,,,,1.31,1.59,1.2,1.4,2.66,1.36,0.49,,3.73,1.06,1.78,2.17,1.47,2.07,1.88,1.42,2.69,4.54,0.45,1.33,2.33,0.66,2.09
June,,,,,,,,0.38,0.68,1.15,2.57,0.79,0.98,1.97,,1.73,2.46,1.91,0.6,1.54,0.99,1.69,1.44,3.89,2.27,2.31,1.01,4.99,0.75,1.39
July,,,,,,,,0.97,3,2.44,3.18,1.94,1.24,2.11,,1.58,1.24,0.85,0.68,3.06,2.23,0.69,3.07,3,0.17,5.19,2.43,2.01,1.04,2.8
August,,,,,,,,2.79,2.52,0.13,,1.81,1.44,2.22,,3.75,0.17,3.38,1.1,1.39,2.51,2.81,1.23,2.99,1.68,2.89,4.45,3.94,1.25,2.62
September,,,,,,,,2.37,1.64,1.28,0.57,1.2,1.58,2.56,,2.81,1.22,0.94,0.62,2.62,3.25,3.62,2.26,2.03,2.09,1.99,2.11,4.19,0.06,3.39
October,,,,,,,,1.75,5.39,2.08,0.62,3.74,2.38,2.9,,0.6,0.17,2.18,5.49,0.38,1.16,2.8,3.17,2.21,2.95,1.21,1.9,2.84,2.2,4.7
November,,,,,,,,2.86,3.23,6.65,2.49,2,1.07,3.34,,2.98,1.08,1.61,2.16,4.69,5.83,3.48,0.93,4.07,0.52,0.55,2.2,1.68,3.11,3.24
December,,,,,,,,2.1,0.78,0.97,1.52,1.73,1.54,1.35,,2.29,2.38,2.84,1.18,1.6,2.23,2.54,0.61,1.74,2.1,2.42,2.07,2.77,3,2.44
Total,,,,,,,,17.43,26.77,24.24,,21.13,18.41,20.2,,26.37,18.64,21.57,18.36,24.98,34.25,26.55,18.96,28.28,21.63,23.12,22.62,31.62,17.48,28.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Dec 7 Inspection Site satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan Part estimated possibly due to snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Aug Part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Oct 27 Inspection Reasonable site Rim 1ft 2in above concrete Leak at base of funnel to be repaired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Mitcham London Road Cemetery SRC_ID 6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station still in use 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
