BEDDINGTON-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ297654,Long,-0.13802,Lat,51.3728,Elevation,108,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,105/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.47,2.19,4.28,2.08,1.98,2.5,5.37,1.38,1.78,1.55,1.77,3.03,0.85,0.76,3.07,2.11,0.91,1.25,2.49,3.76,1.48,1.93,2.25,2.04
February,,,,,,,4.04,0.74,1.53,1.59,2.1,0.66,1.79,0.78,1.31,2.07,1.4,1.45,1.12,4.28,7.23,1.01,1.26,2.16,1.54,0.3,2.95,2.09,0.04,1.65
March,,,,,,,3.5,0.47,1.17,3.17,2.94,1.81,0.24,0.03,1.04,1.02,5.05,0.77,0.79,0.82,3.15,2.31,0.4,1.85,1.13,0.91,0.69,1.13,2.28,1.82
April,,,,,,,2.45,0.19,2.6,1.6,1.28,1.13,0.94,1.28,1.11,2.19,1.65,1.27,1.69,3.15,2.61,1.24,2.53,0.35,0.29,1.22,0.29,0.87,2.15,0.85
May,,,,,,,2.76,1.73,1.85,1.08,1.62,3.15,2.33,0.42,2.91,3.54,1.15,1.69,1.81,1.4,2.2,1.92,1.49,2.8,3.97,0.4,1.35,2.57,0.82,1.81
June,,,,,,,2.14,0.45,1.25,0.32,2.01,0.89,1.01,2.13,1.27,2.03,2.6,1.9,0.79,1.31,0.84,1.8,1.45,3.64,1.74,2.11,0.92,4.82,0.68,0.99
July,,,,,,3.08,0.83,1.36,2.06,2.24,3.04,2.14,1.35,2.04,3.44,1.56,1.21,0.93,0.71,3.05,2.19,0.69,3.85,2.82,0.86,4.75,2.54,2.36,1.54,3
August,,,,,,0.68,2.98,2.62,2.49,0.03,3.61,1.8,1.36,2.66,1.78,4.12,0.12,3.83,1.11,1.62,3.02,2.74,1.41,2.5,2.29,2.74,2.89,3.12,1.05,2.76
September,,,,,,2.28,2.62,2.35,1.65,1.44,0.5,1.86,1.49,2.73,1.56,2.87,1.25,1.24,0.44,2.35,2.84,2.99,2.58,1.83,2,2.17,2.65,4.4,0.09,3.11
October,,,,,,2.1,3.23,2.29,5.67,2.54,0.77,3.98,2.57,3.75,2.25,1.16,0.28,1.75,5.3,0.36,1.08,2.69,3.57,1.73,3.23,1.05,1.5,3.05,2.31,5.45
November,,,,,,3.54,1.58,3.29,4.06,7.01,2.63,2,1,3.48,0.23,3.59,0.92,1.65,2.43,5.31,6.04,3.34,1.23,4.57,0.72,0.62,2.8,1.55,4.2,4.31
December,,,,,,2.64,4.23,3.17,1.12,1.1,1.68,2.57,1.79,2.35,3.41,2.5,2.47,3.02,1.12,1.53,2.29,2.16,0.62,1.75,2.06,2.83,2.09,2.99,4.24,2.55
Total,,,,,,,34.83,20.85,29.73,24.2,24.16,24.49,21.24,23.03,22.09,28.2,19.87,22.53,18.16,25.94,36.56,25,21.3,27.25,22.32,22.86,22.15,30.88,21.65,30.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Dec Partly estimated for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Feb Estimated possibly for snow again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Nov 8 Inspection Gauge sound Camden measure Site slightly o/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
