"CRAWFORD (CAMPS RES.) PEAT RIG",,,,,,,,,,,,
Grid ref,NT013209,Long,-3.562902,Lat,55.471933,,,,,,,
Station no,5162/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.50,8.40,4.80,6.80,7.00,4.25,10.00,7.50,2.90,7.30,,
February,5.70,2.30,4.00,6.85,1.60,3.15,4.20,6.40,2.20,7.25,,
March,4.50,3.50,0.75,5.60,2.80,3.00,4.60,1.80,4.70,2.45,,
April,4.45,2.15,3.60,1.35,2.40,1.00,2.50,2.70,5.10,5.75,,
May,2.75,2.50,2.80,7.20,3.85,2.80,3.20,3.60,1.10,3.00,,
June,1.75,2.85,2.25,4.40,2.60,4.00,2.20,3.20,3.85,2.85,,
July,3.00,3.20,7.40,4.40,2.80,5.60,4.00,6.30,7.05,5.20,,
August,8.30,4.00,4.00,5.90,2.20,8.20,5.40,5.70,1.40,4.85,,
September,5.20,2.95,7.00,8.80,4.60,6.00,4.20,6.50,1.50,4.00,,
October,0.90,6.00,5.45,12.75,3.90,4.00,5.20,4.00,7.40,3.30,,
November,12.20,4.15,7.45,10.80,3.00,2.50,2.80,1.85,12.90,10.70,,
December,10.16,6.35,6.00,7.80,6.55,8.00,6.80,5.20,9.50,6.75,,
Total,67.41,48.35,55.50,82.65,43.30,52.50,55.10,54.75,59.60,63.40,,
Calc annual,67.41,48.35,55.50,82.65,43.30,52.50,55.10,54.75,59.60,63.40,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
