CRAWFORD (CAMPS RES.) PEAT RIG Gauge M,,,,,,,,,
Grid ref,NT013209,Long,-3.562902,Lat,55.471933,Elevation,1485,ft,
Station no,5162/7,,,,,,,,
,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949
January,,,,,,7.14,,6.09,6.65
February,,,,,,2.84,,5,5.66
March,,,,,3.69,3,,5.25,1.69
April,,,,,2.12,1.4,9.38,3.58,5.29
May,,,,,5.63,1.27,4.29,1.9,
June,,,,,4.62,4.33,4.68,6.87,
July,,,,,4.32,5.03,4.12,3.54,
August,,,,,2.64,4.46,0.04,6.52,
September,,,,,8.61,8.57,5.46,7.21,
October,,,,,6.39,0.98,2.3,4.41,
November,,,,,0.51,8.89,7.75,4.24,
December,,,,,5.13,4.92,2.84,9.09,
Total,,,,,,52.83,,63.7,
,,,,,,,,,
1946 Apr estd ,,,,,,,,,
,,,,,,,,,
Station no,5162/7,,,,,,,,
Midas,13530,,,,,,,,
Hyd Stn,650606,1,,,,,,,
