WOOTTON LODGE,,,,,,,,,,,,,,,,,,,
Grid ref,TA087161,Long,-0.358,Lat,53.630,Elevation,100,ft,,,,,,,,,,,
Station no,2578,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944
January,2.51,1.64,4.27,1.68,2.66,2.54,1.01,1.48,1.75,2.15,3.06,3.22,2.07,3.96,2.09,3.29,2.61,3.47,2.73
February,1.42,1.33,1.71,0.61,0.41,2.23,0.65,2.20,1.67,2.70,2.76,2.33,1.04,0.94,1.98,2.56,1.37,0.64,2.47
March,0.50,1.69,2.41,0.20,1.74,0.26,1.46,2.02,1.65,0.72,0.89,2.21,0.25,2.52,1.75,3.37,1.76,0.27,0.68
April,1.64,2.83,0.84,0.90,2.87,3.59,3.10,1.21,2.07,2.24,2.29,4.08,0.27,1.74,1.79,1.10,1.09,1.30,2.65
May,2.47,0.97,0.86,1.56,1.94,3.20,4.84,1.44,1.07,0.57,1.93,3.39,3.37,1.20,1.19,1.52,3.22,2.81,2.22
June,4.02,3.18,2.44,0.81,2.70,3.73,0.73,1.85,1.26,2.30,3.22,1.21,1.73,3.58,1.07,0.38,1.78,2.51,2.47
July,1.70,2.70,0.59,1.56,5.05,4.25,2.35,1.35,1.58,0.59,5.36,2.81,4.40,3.80,5.46,4.57,2.45,1.20,3.11
August,1.94,4.93,4.75,2.24,3.55,4.65,1.86,0.61,2.59,1.27,1.36,0.96,3.64,3.59,0.72,2.94,2.05,3.28,3.73
September,0.62,3.48,0.32,1.07,3.00,3.04,1.80,2.63,2.34,4.14,1.95,1.36,2.33,1.39,1.22,1.03,2.56,2.84,4.13
October,2.80,1.66,4.30,3.03,2.16,1.32,3.30,5.47,1.33,3.85,2.06,2.18,3.44,3.69,4.41,2.73,1.82,1.37,2.27
November,2.55,2.87,2.63,4.20,3.66,2.68,1.59,1.92,2.43,4.28,2.34,2.13,2.66,4.34,4.97,2.85,1.83,2.22,4.08
December,0.97,2.44,1.81,4.29,1.72,1.10,1.10,0.48,3.71,2.74,1.31,5.06,3.99,2.23,2.01,0.47,2.16,1.20,1.43
Total,23.14,29.72,26.93,22.15,31.46,32.59,23.79,22.66,23.45,27.55,28.53,30.94,29.19,32.98,28.66,26.81,24.70,23.11,31.97
,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/101,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/176,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/260,,,,,,,,,,,,,,,,,,,
