WROTTESLEY WOLVERHAMPTON (8inch),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ851017,Long,-2.221486,Lat,52.612868,Elevation,530,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,2.02,2.5,1.78,2.9,1.78,0.3,4.69,2.51,2.28,2.87,1.43,3.35,1.96,1.9,0.54,0.43,2.31,3.22,2.73,2.01,3.09,2.82,0.77,0.39,2.61,1.91,2.72,1.88,1.53,3.97,1.05,1.83,1.08,3.32,2.45,1.54,0.94,1.7,2.09,0.86,3.3,1.26,0.94,0.86,1.6,0.47,3.7,3.3,1.34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,1.79,1.38,2.24,2.07,0.95,1.4,3.32,0.97,2.82,1.42,2.68,2.21,1.05,2.4,2.31,2.88,2.8,2.69,1.54,2.27,0.93,0.51,0.76,1.8,0.67,0.03,1.38,2.47,2.37,0.24,0.73,2.81,1.43,2.6,3.76,1.82,1.08,1.17,3.51,0.63,1.57,1.37,1.15,0.54,2.49,1.29,1.19,0.72,2.07,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,1.82,1.97,1.52,1.55,1.49,0.76,1.93,2.9,0.65,0.8,2.34,2.14,0.7,0.58,0.81,2.45,1.7,1.35,2.51,1.03,2.6,1.53,2.24,2.48,1.15,1.31,1.18,0.52,1.01,2.12,3.05,2.03,0.64,0.84,0.9,1.81,1.46,4.02,1.38,2.71,0.96,1.02,2.86,2.8,0.51,1.41,3.49,4.53,2.01,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,0.58,2.33,1.39,1.45,1.07,3.74,2.79,0.59,1.1,0.62,2.62,2.34,2.3,3.37,1.44,0.72,3.16,0.86,1.61,2,1.7,1.35,1.77,3.54,0.84,1.93,1.34,0.55,1.3,2.11,1,1.81,1.83,2.33,0.77,1.62,1.56,1.56,1.22,1.31,1.33,1.8,2.31,1.83,1.76,1.03,0.14,3.14,0.65,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,0.54,1.57,1.78,4.79,0.89,1.44,2.4,2.66,1.88,1.52,0.68,2.16,6.43,2.61,2.29,1.56,2.96,1.45,1.1,2.06,7,1.8,0.82,2.86,1.67,3.89,2.49,1.5,2.68,0.71,0.34,0.94,2.93,2.15,1.7,1.08,3.04,2.48,1.97,0.4,2.58,3.06,3.86,1.28,1.6,0.72,2.47,2.26,1.23,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,4.17,1.35,0.32,1.55,0.65,3.19,4.7,2.92,0.28,2.87,3.08,1.22,3.71,4.3,3.17,2.42,5.49,3.24,2.05,2.67,1.47,2,2.11,1.19,1.57,2.39,4.18,2.21,2.2,1.25,1.22,3.05,1.34,3.35,2.28,3.12,1.74,1.03,0.46,2.02,2.2,2.88,1.98,3.51,1.12,2.34,4.87,1.37,3.06,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,0.8,3.48,0.46,0.2,1.58,3.99,6.42,3.14,1.26,6.91,2.77,4.22,0.61,5.28,4.78,1.49,3.72,3.02,2.67,0.52,2.71,1.5,4.43,1.71,2.61,1.59,2.07,1.99,2.99,2.55,1.66,0.5,1.29,1.44,2.03,1.99,1.92,1.29,2.24,1.79,0.79,1.96,2.24,3.3,2.62,0.1,2.25,1.5,4.49,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,4.8,1.81,3.68,1.6,2.53,0.7,3.2,2.34,2.81,2.86,2.13,4.16,6.46,5.36,0.47,4.47,1.95,1.18,1.97,2.56,1.64,3.25,3.8,3.12,2.82,3.67,2.26,0.97,1.68,2.11,1.9,2.65,3.27,1.61,2.87,2.58,3.33,4.56,2.62,4.23,1.77,2.56,3.02,1.46,4.24,1.41,5.79,1.71,3.04,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,4.57,1.78,2.28,4.98,0.68,6.04,2.63,1.58,2.56,4.16,4.51,1.91,2.75,2.81,3.1,1.76,2.24,4.53,2.58,3.8,3.18,2.53,0.92,2.5,0.79,1.59,2.51,1.43,1.12,0.24,3.33,2.28,1.04,1.9,1.05,0.84,1.46,3.54,1.9,1.09,1.24,0.87,1.9,3.18,0.45,1.54,0.79,1.24,1.09,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,2.17,2.65,1.81,1.65,5.3,3.21,5.93,2.49,1.76,5.74,2.29,1.9,3.1,0.99,4.98,2.51,5.8,2.58,1.46,3.79,3.51,2.58,0.49,2.78,1.7,5.42,2.83,1.82,2.69,2.64,1.81,1.07,2.15,2.66,3.02,2.21,2.72,4.85,0.54,1.13,4.25,4.46,2.18,3.07,2.62,2.01,2.39,2.68,1.44,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
