"YSTRADFELLTE RESERVOIR",,,,,,,,,,,,
Grid ref,SN946171,Long,-3.531352,Lat,51.842521,,,,,,,
Station no,4144,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.42,8.56,2.58,4.17,-999.00,10.88,13.51,7.77,8.88,11.19,,
February,7.41,2.04,4.13,7.47,2.80,0.88,8.28,11.57,0.73,8.96,,
March,8.36,6.32,7.15,5.92,4.97,4.36,8.82,1.59,7.82,3.40,,
April,7.02,5.43,6.01,2.63,4.93,1.25,0.76,2.31,7.96,6.79,,
May,3.91,5.82,5.41,4.38,7.16,2.46,3.75,6.65,2.28,2.29,,
June,2.82,5.42,2.79,6.71,9.36,4.60,1.53,4.35,3.30,5.31,,
July,2.56,2.83,11.05,7.44,1.60,6.60,9.05,7.24,7.84,10.51,,
August,12.70,9.53,7.20,9.38,2.30,9.88,7.06,6.34,1.50,7.29,,
September,7.38,4.51,8.84,11.06,3.95,7.51,12.31,13.33,0.83,7.13,,
October,2.22,6.88,4.43,18.22,4.51,3.94,8.77,7.51,9.38,9.68,,
November,14.80,5.34,8.83,15.64,5.39,3.09,3.80,4.48,11.01,19.64,,
December,10.38,7.71,2.14,9.32,12.59,8.35,7.23,7.44,18.33,13.45,,
Total,90.98,70.39,70.56,102.34,65.26,63.80,84.87,80.58,79.86,105.64,,
Calc annual,90.98,70.39,70.56,102.34,59.56,63.80,84.87,80.58,79.86,105.64,,
Difference,0.00,0.00,0.00,0.00,5.70,-0.00,0.00,-0.00,0.00,0.00,,
