BARCOMBE MILLS,,,,,,,,,,,,
Grid ref,TQ432148,Long,0.035703,Lat,50.914906,,,,,,,
Station no,506/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.36,4.17,5.61,2.95,4.26,3.84,3.29,,
February,,,,2.87,2.76,0.29,5.28,2.81,0.03,2.98,,
March,,,,3.92,1.05,0.45,1.37,1.94,2.01,2.76,,
April,,,2.34,0.48,0.23,1.26,0.18,1.11,2.54,1.08,,
May,,,1.54,1.77,5.21,0.46,1.25,2.85,0.56,1.35,,
June,,,1.40,2.98,2.00,2.57,1.52,3.82,1.09,1.61,,
July,,,2.70,3.92,0.59,2.91,3.77,1.95,2.45,3.37,,
August,,,2.59,3.14,0.89,5.09,2.72,3.99,1.06,6.60,,
September,,,4.53,3.38,2.66,4.51,3.58,4.81,0.11,3.21,,
October,,,3.89,3.03,4.02,1.67,1.81,4.34,2.85,8.03,,
November,,,1.82,7.11,1.70,1.01,3.07,2.01,4.17,6.92,,
December,,,0.90,2.63,3.38,4.66,2.44,4.93,8.23,4.00,,
Total,,,,36.59,28.66,30.49,29.94,38.82,-999.00,45.20,,
Calc annual,0.00,0.00,21.71,36.59,28.66,30.49,29.94,38.82,28.94,45.20,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,-1027.94,0.00,,
