LOCH SUNART (SALEN) (CARNLIA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM687643,Long,-5.781085,Lat,56.71291,Elevation,35,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5392/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,12.86,4.34,1.16,0.95,7.76,8.08,11.8,7.46,10.74,5.45,8.62,11.88,7.9,10.09,7.73,,,,,,,,
February,,,,,,,,7.35,12.23,3.6,6.48,3.3,9.93,4.47,10.14,6.58,0.06,6.54,10.03,6.53,5.08,4.93,,,,,,,,
March,,,,,,,,13.34,5.37,6.16,2.58,2.88,5.82,3.17,6.83,3.13,2.07,7.1,5.63,6.48,4.64,5.46,,,,,,,,
April,,,,,,,,1.53,3.59,3.88,3.31,2.09,8.59,4.96,3.43,4.63,9.07,6.02,11.25,7.34,2.44,3.13,,,,,,,,
May,,,,,,,,4.11,2.54,3.38,1.87,3.17,3.98,8.56,5.02,0.88,3.26,1.85,3.64,2.4,1.02,2.34,,,,,,,,
June,,,,,,,,9.04,3.38,2.39,2.32,5.07,4.56,7.04,7.68,4.8,5.02,6.15,2.48,6.81,2.66,5.54,,,,,,,,
July,,,,,,,,7.22,8.29,5.04,5.72,7.47,3.98,2.44,4.83,8.4,6.15,5.59,4.39,6.75,6.97,4.91,,,,,,,,
August,,,,,,,,4.42,2.84,7.72,7.58,7.9,8.79,4.02,4.21,5.67,0.06,7.49,8.73,9.87,5.65,5.7,,,,,,,,
September,,,,,,,,6.98,4.61,8.51,4.08,10.77,7.63,8.1,7.07,6.55,9.31,13.01,4.9,12.58,5.38,6.51,,,,,,,,
October,,,,,,,,14.79,3.82,9.38,7.98,11.62,14.82,10.01,6.37,0.77,5.46,8.89,9.24,10.19,4.05,7.85,,,,,,,,
November,,,,,,,,14.96,11.53,9.36,8.72,4.38,7.22,9.16,1.8,6.63,10.49,7.05,9.14,6.89,10.18,3.9,,,,,,,,
December,,,,,,,,8.83,4.94,11.4,7.35,11.99,6.71,8.88,6.46,8.96,6.13,10.7,16.91,4.68,15.45,8.17,,,,,,,,
Total,,,,,,,,105.43,67.48,71.98,58.94,78.4,90.11,82.61,71.3,67.74,62.53,89.01,98.22,88.42,73.61,66.17,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5392/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,701280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
