"ARDEE, LISRENNY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IN9559295463,Long,-6.546307,Lat,53.899918,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6142/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,2.38,3.79,3.44,1.46,3.7,3.06,1.1,1.82,2.61,3.69,3.2,1.4,3.35,2.53,3.35,2.96,3.7,2.23,4.43,3.21,2.19,4.07,1.26,2.45,1.92,2.66,1.29,3.93,4.76,1.2,2.81,2.37,0.97,3.25,2.67,4.04,3.84,2.77,2.43,4.3,3.08,4.13,2.75,4.06,2.09,4.89,2.18,2.86,2.48,3.23,1.11,4.01,3.99,4.3,4.7,5.53
February,,,,,,3.19,2.16,0.95,0.55,2.15,1.07,0.25,2.29,2.96,3.19,0.37,1.17,2.07,2.31,2.77,1.99,1.16,2.51,3.57,3.5,1.34,1.92,2.21,2.17,0.84,3.7,2.32,2.9,1.05,3.23,3.79,2.33,2.23,3.78,1.56,2,1.02,2.14,6.16,0.77,3.94,2.49,2.4,3.54,3.23,0.65,2.15,0.4,2.64,0.15,3.1,1.81,4.47,1.17,2.16,3.92
March,,,,,,2.13,3.5,1.33,4.78,2.54,2.72,0.92,0.51,0.99,1.42,2.76,3.99,4.12,1.32,1.4,0.71,3.01,2.12,5.19,2.4,4.19,1.83,2.82,3.65,2.74,1.36,1.39,4.23,3.59,2.69,1.13,2.44,2.57,1.29,2.32,2.65,3.02,1.49,1.8,1.8,0.59,1.5,3.24,3.29,0.65,3.21,2.22,1.57,1.92,2.25,0.85,2.09,3.5,0.93,2.58,4.07
April,,,,,,2.93,1.56,1.51,1.69,3.97,1.26,2.74,0.75,1.16,3.37,1.98,1.06,3.36,3.39,2.59,2.12,1.88,2.55,1.39,1.97,2.21,1.73,2.54,2.58,3.96,2.12,2.55,1.21,3.3,1.18,1.54,1.88,1.91,1.2,1.19,2.51,0.58,2.05,3.78,3.06,3.64,1.99,1.2,1.39,0.89,1.81,2.91,2.39,0.94,1.99,2.68,0.97,2.18,0.1,2.02,3.38
May,,,,,2.47,2.25,4.93,1.27,1.7,2.57,2.04,3.14,4.52,1.55,3.51,0.32,0.46,1.39,3.65,3.51,2.07,2.74,3.74,2.61,2.47,0.62,3.63,3.83,2.31,1.38,2.49,1.64,1.1,5.03,1.87,1.64,3.64,3.01,3.2,2.2,2.85,1.79,1.49,1.41,3.54,4.71,1.47,1.37,1.23,1.92,1.67,3.06,3.28,2.18,1.94,0.98,1.84,1.66,3.63,1,1.78
June,,,,,0.66,0.72,1.61,0.52,3.44,0.16,1.98,3.29,2.97,1.78,2.6,1.83,2.95,5.16,3.04,1.71,4.36,2.06,2.53,1.62,1.81,1.75,1.8,3.96,1.77,1.2,5.45,1.79,3.2,2.54,0.96,1.36,2.46,0.98,1.45,3.26,2.03,0.28,1.31,1.2,3.11,0.45,3.1,2.96,4.27,2.05,1.72,6.2,0.76,3.05,1.41,5.3,3.81,1.71,3.5,1.27,1.27
July,,,,,3.47,1.91,4.09,3.18,6.37,2.83,1.96,1.45,2.31,2.93,3.83,4.8,6.56,1.6,0.63,2.8,4.82,1.17,2.9,3.4,3.55,1.43,2.4,1.64,3.68,2.79,2.88,2.3,4.38,1.01,2.5,3.93,2.69,3,3.42,0.53,3.64,4.39,2.8,3.06,3.58,3.33,5.62,4.51,1.19,3.1,3.84,3.49,5.55,2.7,0.7,0.39,5.85,2.81,4.54,3.14,4.47
August,,,,,1.39,1.76,1.84,2.02,2.43,6.08,3.26,5.59,7.24,3.2,1.8,6.66,1.33,5.17,3.73,3.03,6.15,3.16,3.03,4.24,4.09,7.95,3.89,2.6,2.17,1.02,5.14,2.23,5.39,0.66,3.02,3.81,2.49,6.41,2.7,2.48,1.71,2.63,4.78,6.07,4.5,2.66,4.58,4.4,4.9,4.43,6.42,2.55,1.76,1.39,4.28,2.04,2.23,2.76,2.86,2.02,0.54
September,,,,,2.91,5.18,3.36,2.3,0.61,1.55,2.27,1.8,3.42,1.17,0.11,0.43,4.21,2.12,2.77,2.92,1.42,2.73,2.81,4.34,2.87,1.6,1,1.02,4.18,1.98,0.67,0.92,0.54,4.84,1.03,1.43,1.17,1.86,5.37,1.39,1.93,1.46,2.62,3.07,5.14,2.92,1.91,4.98,2.84,0.73,3.66,3.8,3.1,0.37,5.26,5.26,4.2,3.8,1.65,2.36,1.76
October,,,,,1.7,3.66,4.99,1.25,0.94,6.32,1.22,3.85,2.73,1.92,4.95,2.53,1.04,2.24,4.93,1.47,3.58,3.21,2.48,4.22,1.1,1.04,5.27,4.34,1.86,5.1,1.6,3.85,1.96,3.34,1.08,3.48,7.59,4.1,3.47,1.2,4.83,2.31,1.33,2.68,2.84,3.44,2.79,3.41,4.34,3.42,4.79,1.97,3.28,2.86,3.26,2.58,2.1,2.92,5.58,4,5.02
