DORMANS-PARK-HILLSIDE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ390408,Long,-0.014041495,Lat,51.149589,Elevation,275,ft.,,,,,,,,,,,,
Station no,RR8504,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.18,2.01,1.07,3.14,1.38,2.64,4.74,0.91,,,,,
February,,,,,,,,1.38,1.14,0.32,4.75,1.51,2.6,0.96,5.4,,,,,
March,,,,,,,,0.8,2.77,3.89,1.2,2.29,5.34,3.39,5.84,,,,,
April,,,,,,,,3.35,2.68,1.14,2.01,2.27,0.03,3.48,1.66,,,,,
May,,,,,,,,1.84,1.92,1.29,2.23,1.34,1.28,1.74,1.37,,,,,
June,,,,,,,,1.55,1.39,2.82,1.51,1.92,3.73,0.33,0.63,,,,,
July,,,,,,,,1.18,2.99,2.71,2.16,0.54,1.25,2.82,1.81,,,,,
August,,,,,,,,2.26,4.44,2.28,3.05,0.83,6.58,1.34,1.09,,,,,
September,,,,,,,,0.61,1.01,2.45,0.41,1.42,4.98,1.56,1.17,,,,,
October,,,,,,,,4.83,1.62,6.08,3.03,4.94,3.82,4.69,1.96,,,,,
November,,,,,,,,2.22,1.31,1.07,4.27,7.03,2.69,3.8,4.53,,,,,
December,,,,,,,,3.06,3.57,4.23,4.33,7.65,3.66,1.5,8.73,,,,,
Total,,,,,,,,24.26,26.85,29.35,32.09,33.12,38.6,30.35,35.1,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Hillside. Altitude from OS map.,,,,,,,,,,,,,,,,,,,,
