"MINSTER GAS WORKS THANET",,,,,,,,,,,,
Grid ref,TR309648,Long,1.313472,Lat,51.335377,,,,,,,
Station no,RR4519,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.04,0.94,2.21,0.86,1.88,0.59,,
February,,,,,1.88,0.94,1.48,1.36,1.38,1.40,,
March,,,,,1.46,2.07,1.51,0.65,2.20,2.73,,
April,,,,,0.89,3.29,0.55,2.38,1.97,1.40,,
May,,,,,2.38,1.03,1.73,1.84,1.74,1.00,,
June,,,,4.30,0.73,3.53,1.49,1.55,1.25,2.48,,
July,,,,4.77,0.59,0.77,1.00,1.59,3.01,2.92,,
August,,,,2.88,1.38,1.68,0.45,1.38,2.78,2.84,,
September,,,,1.56,2.28,2.60,1.83,0.33,1.13,2.20,,
October,,,,3.03,1.65,1.95,1.84,5.02,1.52,6.38,,
November,,,,2.97,1.23,3.04,4.60,2.33,1.22,0.48,,
December,,,,1.80,2.08,0.32,1.92,1.85,2.56,3.91,,
Total,,,,,19.59,22.16,20.61,21.14,22.64,28.33,,
Calc annual,0.00,0.00,0.00,21.31,19.59,22.16,20.61,21.14,22.64,28.33,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
