"MOLD, MOUNT PLEASANT RES",,,,,,,,,,,,
Grid ref,SJ256663,Long,-3.114922,Lat,53.188566,,,,,,,
Station no,4274,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.49,4.06,0.92,2.12,1.92,4.31,1.74,3.62,4.13,5.17,,
February,3.51,1.59,1.43,2.45,3.10,0.58,2.71,5.77,0.28,2.35,,
March,5.72,0.74,0.89,2.04,2.31,2.05,1.98,1.75,1.42,2.23,,
April,1.54,1.66,3.08,1.02,1.42,2.76,0.53,0.49,4.55,1.64,,
May,3.77,2.40,2.69,2.75,3.37,0.66,1.58,2.49,2.18,1.95,,
June,1.51,1.61,1.82,4.34,3.69,1.65,1.86,5.67,2.79,1.38,,
July,1.03,1.66,2.83,4.26,0.50,4.39,4.67,3.54,2.90,3.84,,
August,3.55,2.20,2.70,4.05,1.04,7.51,4.87,2.49,1.14,3.61,,
September,2.33,3.98,3.09,2.63,1.94,2.69,7.52,4.06,0.13,4.34,,
October,0.84,5.69,1.46,4.79,2.11,2.20,1.96,3.03,3.16,5.71,,
November,7.45,2.86,2.23,7.57,1.77,1.25,2.40,2.21,4.49,5.43,,
December,4.51,4.89,1.42,3.57,4.03,3.36,3.05,3.34,5.96,3.16,,
Total,38.25,33.34,24.56,41.59,27.20,33.41,34.87,38.46,33.13,40.81,,
Calc annual,38.25,33.34,24.56,41.59,27.20,33.41,34.87,38.46,33.13,40.81,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
