HENLEY-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM160512,Long,1.1534765,Lat,52.116903,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,1.4,2.35,1.01,2.27,1.34,3.78,1.94,2.19,1.91,0.96,1,1.62,2.53,3.7,4.92,3.12,6.03,1.46,2,2.87,3.96,1.78,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,3.01,1.08,2.04,1.91,2.84,1.22,0.52,0.79,2.51,0.7,1.52,0.54,3.21,3.23,3.73,0.67,0.87,1.33,1.86,0.37,0.75,1.36,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,1.23,0.66,0.65,0.32,1.88,1.62,0.06,1.57,0.43,1.51,2.25,2.15,0.97,0.71,2.74,0.43,2.17,3.04,3.3,2.2,0.68,0.35,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,0.86,2.74,1.92,3.19,2.91,1.69,1.48,1.54,3.38,2.5,1.15,3.33,2.73,1.38,2.98,0.42,3.28,1.49,1.67,0.8,0.98,1.83,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,1.28,5.37,2.21,1.4,0.85,2.09,1.48,2.69,3.1,3.85,1.2,1.64,1.99,1.3,2.92,2.02,1.17,0.7,1.76,1.92,1.67,0.64,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,0.47,2.26,0.5,2.34,3.98,2.05,0.78,1.47,1.71,0.6,1.67,0.93,2.83,4.71,1.39,0.6,1.6,0.27,0.69,0.51,2.05,1.4,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,2.03,3.87,3,1.97,3.34,2.44,3.17,4.71,3.15,2.24,1.2,1.49,0.67,3.65,1.52,1.47,2.27,2.34,2.28,2.37,0.75,1.92,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,2.02,3.18,2.76,1.5,4.08,3.15,1.22,2.97,3.44,1.06,1.33,2.09,1.43,1.21,1.47,1.43,1.95,0.48,4.09,1.22,1.24,2.13,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,1.69,3.07,2.85,1.22,3.42,0.94,0.57,4.52,2.05,1.69,3.18,1.94,3.68,2.17,1.62,2.49,0.55,0.82,0.18,2.1,2.56,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,4.09,4.05,2.77,3.04,2.1,2.04,3.38,0.97,0.94,5.44,1.9,1.91,2.67,2.18,2.1,2.74,8.13,2.46,2.27,4.28,1.59,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
