"SWINTON, VICTORIA PARK",,,,,,,,,,,,,,,,,,,,,
Grid ref,SD784014,Long,-2.3271601,Lat,53.508837,Elevation,253,ft,,,,,,,,,,,,,
Station no,2836,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,2.12,3.8,4.5,8.29,1.87,3.9,4.99,3.72,,,,,,,,
February,,,,,,5.67,3.51,1.4,4.47,1.25,0.28,3.95,0.03,,,,,,,,
March,,,,,,1.31,1.72,3.98,2.37,1.08,2.51,0.23,1.97,,,,,,,,
April,,,,,,2.13,1.19,2.42,0.78,1.15,1.44,3.35,2.63,,,,,,,,
May,,,,,,5.88,3.4,1.57,1.19,2.81,1.79,2.46,4.12,,,,,,,,
June,,,,,,0.01,2.08,4.35,5.67,1.22,1.43,5.23,0.51,,,,,,,,
July,,,,,,2.33,2.66,2.98,1.79,2.67,6.04,4.61,,,,,,,,,
August,,,,,,3.81,4.54,6.11,4.39,4.13,6.23,6.46,,,,,,,,,
September,,,,,,4.16,3.75,6.58,0.76,1.89,2.87,2.75,,,,,,,,,
October,,,,,,4.48,2.92,3.18,4.49,5.21,4.62,1.73,,,,,,,,,
November,,,,,,3.07,5.36,3.78,4.9,6.68,4.66,5.93,,,,,,,,,
December,,,,,,2.41,1.76,1.05,2.24,6.02,3.15,1.76,,,,,,,,,
Total,,,,,,37.38,36.69,41.9,41.34,35.98,38.92,43.45,,,,,,,,,
