"MORETONHAMPSTEAD: MARDON",,,,,,,,,,,,
Grid ref,SX805827,Long,-3.691035,Lat,50.631712,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,6.68,1.84,8.18,1.72,1.58,2.01,,
February,,,,,7.84,1.37,4.34,2.02,2.17,0.68,,
March,,,,,2.94,6.62,1.13,0.83,4.47,8.26,,
April,,,,,1.56,3.88,1.21,5.37,2.60,2.87,,
May,,,,,2.61,0.53,2.11,4.52,2.37,1.37,,
June,,,,,1.10,3.48,1.56,2.63,1.26,3.60,,
July,,,,,4.76,0.31,0.71,1.27,1.88,2.41,,
August,,,,,2.42,4.42,2.38,1.16,4.40,1.76,,
September,,,,,2.37,1.97,0.63,0.81,3.11,1.88,,
October,,,,,2.07,2.17,6.74,9.41,2.99,8.39,,
November,,,,,2.00,5.70,3.72,4.62,1.73,1.34,,
December,,,,,3.97,1.41,2.57,6.67,3.83,7.34,,
Total,,,,,40.32,33.70,35.28,41.03,32.39,41.91,,
Calc annual,0.00,0.00,0.00,0.00,40.32,33.70,35.28,41.03,32.39,41.91,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,,
