"OTTERBOURNE W.W. SHAWFORD",,,,,,,,,,,,
Grid ref,SU468233,Long,-1.334332,Lat,51.007189,,,,,,,
Station no,706,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.40,1.37,0.87,2.64,3.86,0.72,5.32,0.53,1.64,1.07,,
February,4.85,1.35,1.49,1.62,3.38,0.53,2.62,1.42,1.13,0.39,,
March,1.29,2.11,2.32,3.36,1.51,3.83,1.09,0.50,3.14,3.66,,
April,1.02,2.21,2.09,2.44,0.96,1.39,0.53,3.50,2.07,1.05,,
May,1.43,1.09,2.90,3.27,3.31,0.24,1.95,2.13,1.50,1.51,,
June,2.76,1.45,3.36,3.50,1.02,4.66,1.88,1.39,1.22,4.79,,
July,0.89,4.53,1.37,2.65,1.19,0.56,0.51,1.06,2.03,3.03,,
August,2.88,3.45,2.86,3.42,3.35,2.37,0.93,1.93,3.37,2.17,,
September,0.62,2.50,1.19,2.55,1.70,1.37,1.08,0.63,2.16,3.50,,
October,2.26,2.84,1.91,8.84,1.85,2.21,4.94,5.73,1.31,7.70,,
November,2.92,0.50,2.95,1.65,1.07,3.89,4.02,2.52,1.19,0.56,,
December,3.91,4.09,1.92,3.12,3.69,0.59,1.75,4.28,2.84,3.71,,
Total,28.23,27.49,25.23,39.06,26.89,22.36,26.62,25.62,23.60,33.14,,
Calc annual,28.23,27.49,25.23,39.06,26.89,22.36,26.62,25.62,23.60,33.14,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
