"BOLTON SMITHILLS MOOR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4078,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.74,8.26,3.68,7.10,4.34,3.54,3.10,2.85,,2.55,7.95,
February,4.23,1.16,3.49,7.26,0.69,7.61,3.43,2.60,,2.68,0.55,
March,5.84,4.07,2.81,2.88,2.23,3.40,2.12,3.80,,2.70,3.15,
April,5.74,2.50,3.89,3.59,3.08,3.80,2.20,4.10,,1.92,4.35,
May,8.39,3.77,2.26,5.26,6.49,4.95,3.95,2.05,,4.73,3.83,
June,3.75,0.92,3.42,2.95,4.12,0.38,2.92,3.75,,3.55,4.62,
July,9.36,2.20,6.74,6.88,5.75,2.45,4.35,3.95,,5.44,10.90,
August,3.90,7.79,6.29,6.84,8.87,4.89,4.77,6.45,,10.28,11.49,
September,4.50,2.55,7.69,8.13,5.56,5.68,5.61,6.24,,4.15,7.30,
October,3.24,3.35,1.65,9.94,7.30,5.03,2.55,4.83,,11.80,11.05,
November,2.43,4.44,3.92,2.10,3.52,4.65,6.00,3.80,,12.12,10.16,
December,3.61,5.41,5.38,5.33,6.35,3.20,2.85,1.80,,9.95,6.93,
Total,59.73,46.42,51.22,68.26,58.30,49.58,43.85,46.22,,71.87,82.28,
Calc annual,59.73,46.42,51.22,68.26,58.30,49.58,43.85,46.22,0.00,71.87,82.28,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,NaN,0.00,0.00,
