"BOLTON SMITHILLS MOOR",,,,,,,,,,,,
Grid ref,SD674131,Long,-2.494240,Lat,53.613427,,,,,,,
Station no,RR4078,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,6.72,2.56,4.14,2.37,,
February,,,,,,,3.56,2.74,5.37,2.38,,
March,,,,,,,3.89,4.10,3.89,3.25,,
April,,,,,,,2.51,2.86,3.18,6.17,,
May,,,,,,,5.40,5.18,4.47,2.85,,
June,,,,,,,2.81,9.98,2.78,4.35,,
July,,,,,,,2.93,4.45,7.71,7.38,,
August,,,,,,,5.30,6.69,5.08,4.88,,
September,,,,,,,2.53,1.84,5.94,4.02,,
October,,,,,,,7.97,4.39,3.24,7.35,,
November,,,,,,,4.60,4.36,4.16,2.19,,
December,,,,,,,6.53,4.78,4.00,8.46,,
Total,,,,,,,54.75,53.93,53.96,55.65,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,54.75,53.93,53.96,55.65,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
