BOLTON SMITHILL MOOR - self- registering gauge,,,,,,,,,,
Grid ref,SD658140,Long,-2.518523,Lat,53.621414,Elevation,1375,ft,,
Station no,RR4078,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,2.11
February,,,,,,,,,,2.21
March,,,,,,,,,,4
April,,,,,,,,,,5.6
May,,,,,,,,,,3.14
June,,,,,,,,,,4.71
July,,,,,,,,,,7.8
August,,,,,,,,,,3.67
September,,,,,,,,,,3.97
October,,,,,,,,,,6.91
November,,,,,,,,,,2.48
December,,,,,,,,,,8.1
Total,,,,,,,,,,54.7
,,,,,,,,,,
"NGR taken from directions from St Peter's Halliwell and elevation as per other records from the site. Direction NW from church however, otherwise in Horwich and much lower (500 ft)",,,,,,,,,,
TYRain_1900-1909_19_pt1-page-061.csv,,,,,,,,,,
