BOLTON (SMITHILLS MOOR) - new site,,,,,,,,,,
Grid ref,SD657135,Long,-2.5199799,Lat,53.616913,Elevation,1250,ft,,
Station no,2868/7,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,4.58,4.25,5.15,,,,
February,,,,0.56,7.45,2.68,,,,
March,,,,3.85,2.12,4.01,,,,
April,,,,3.49,3.85,1.49,,,,
May,,,,4.57,1.24,0.95,,,,
June,,,,3.03,5.22,5.01,,,,
July,,,,3.2,2.2,6.85,,,,
August,,,,7.1,2.36,4.3,,,,
September,,,,3.97,8.45,6.08,,,,
October,,,,8.29,11.35,6.1,,,,
November,,,,3.44,5.38,7.48,,,,
December,,,,8.13,4.6,5.98,,,,
Total,,,,54.21,58.47,56.08,,,,
,,,,,,,,,,
TYRain_1931-1940_17_pt1-page-093.csv,,,,,,,,,,
Location not precise - note on record says near to shooting box! Therefore moved south from main gauge until 1250 ft elevation reached.,,,,,,,,,,
station also RR4078,,,,,,,,,,
