BOLTON SMITHILLS - observer RE Proffitt,,,,,,,,,,
Grid ref,SD693098,Long,-2.4651958,Lat,53.583882,Elevation,492,ft,,
Station no,RR4078,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,5.37,5.11,3.16,6.39,3.77,3.53,,
February,,,1.76,1.41,2.16,4.57,4.67,1.6,,
March,,,7.66,4.63,5.14,2.4,1.94,2.83,,
April,,,1.05,5.17,1.47,2.11,4.26,1.95,,
May,,,2.8,3.55,2.93,1.91,2.72,2.43,,
June,,,6.2,2.97,1.93,2.71,3.82,2.36,,
July,,,5.48,1.23,5.92,4.56,3.17,2.79,,
August,,,9.41,3.33,3.4,6.19,3.71,7.85,,
September,,,3.24,2.09,4.8,1.08,3.83,2.94,,
October,,,5.29,2.41,2.89,2.44,8.06,9.14,,
November,,,3.22,4.88,5.92,1.93,3.1,6.56,,
December,,,4.37,3.15,6.51,9.42,3.13,2.74,,
Total,,,55.85,39.93,46.23,45.71,46.18,46.72,,
,,,,,,,,,,
TYRain_1910-1919_17_pt1-page-272.csv,,,,,,,,,,
NGR NOT precise at all,,,,,,,,,,
"NGR based approx on distances from TYR, elevation",,,,,,,,,,
"Observer RE Proffitt was assistant schoolmaster living at 52 Beverley Road, Halliwell in 1911",,,,,,,,,,
House far too low.,,,,,,,,,,
Elevation on record is a bench mark. Can't find one of that elevation near by on OS list,,,,,,,,,,
