"ESKDALE MUIR SCHOOL, DUMFRIES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY250983,Long,-3.1812,Lat,55.2736,Elevation,612,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,1.5,,5.7,3.1,10,9,7.1,6.7,9.5,6.2,5.9,13.3,6.6,8.8,9.7,7.5,5.5,12.1,12.4,,,,,,
February,,,,,,1.5,,3.7,4,6,5.5,6.5,2.2,5.4,3.7,3.4,7.5,5.2,10.2,9.8,4.6,7.1,5.9,2.1,,,,,,
March,,,,,,3.5,,4.8,2.8,7.4,6.6,7.2,5.3,2.3,5.2,2.1,3.6,5.5,10.2,1.9,2.1,4.7,5.6,3.2,,,,,,
April,,,,,,1.6,,2.3,3.6,5.7,1.4,0.6,6,6.2,1,0.6,3,6.7,4.9,3,2,5.3,2.7,0.7,,,,,,
May,,,,,,1.7,,1.6,6,0.05,3.8,1.1,4.6,4.4,3.1,7.4,2.8,3.5,4.1,2.2,7.2,0.9,3.9,2.4,,,,,,
June,,,,,,3.7,,3.6,1.02,2.1,6.2,1.5,5.6,7.2,4.3,0.6,2.8,1.7,1.7,2,2.2,1.7,6,,,,,,,
July,,,,,,5.8,,3.3,4.1,2.8,2.5,7,6,0.65,3.3,3.7,3.3,5.2,1,2.7,2.1,5,4.3,,,,,,,
August,,,,,,8.9,,3.5,7,3.6,5.2,9.7,6,5.5,3,6.5,6.6,5.5,6.6,1,2.1,2.9,5,,,,,,,
September,,,,,,1,,7.1,8.8,7,1.8,6.4,3.5,8,8.7,2.3,6.5,5,4.5,11.1,5.7,1.4,6,,,,,,,
October,,,,,,8.8,,2.6,7.6,4.5,10.5,3.7,12.2,5.6,5.8,5.7,4,4.4,5.8,2.4,7.5,5,,,,,,,,
November,,,,,,4.4,,3.6,1.8,4.4,2.3,11.1,2.4,6.1,4.8,4.9,6.4,0.8,3.9,6.6,2,4,,3.6,,,,,,
December,,,,,,2.3,,8.2,5.4,6.7,4.2,5,8.8,5.2,9.2,6.4,8.4,4.5,13.1,10.2,3.1,8.9,,,,,,,,
Total,,,,,,44.7,51,50,55.22,60.25,59,66.9,69.3,66.05,58.3,49.5,68.2,54.6,74.8,62.6,48.1,52.4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 1857 = 4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total 1872 includes estimated values therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
