ALFORD - SUTTON BY THE SEA,,,,,,,,
Grid ref,TF521823,Long,0.282,Lat,53.316,Elevation,9,ft
Station no,RR4722,,,,,,,
,,,,,,,,
,1883,1884,1885,1886,1887,1888,1889,1890
January,2.30,2.19,1.75,2.39,1.50,1.09,0.73,1.15
February,2.69,1.81,1.80,0.36,0.53,1.67,1.42,0.54
March,1.43,1.29,1.80,2.37,1.11,2.30,2.00,1.25
April,1.29,1.28,1.21,0.87,1.20,1.45,2.09,0.25
May,2.05,1.11,1.69,2.58,1.69,1.13,3.21,1.17
June,3.94,0.46,2.26,1.33,0.12,2.01,0.29,1.54
July,3.64,1.89,0.46,3.47,0.53,5.18,2.01,1.26
August,1.40,2.06,2.17,1.55,1.76,1.85,2.70,1.17
September,6.82,1.27,2.81,1.01,2.16,1.38,2.61,0.36
October,3.11,2.27,4.99,1.96,2.60,0.96,2.51,0.88
November,3.36,1.69,2.41,2.45,2.41,1.80,1.11,3.15
December,2.06,2.12,0.96,3.63,1.23,1.57,0.92,0.38
Total,34.09,19.44,24.31,23.97,16.84,22.39,21.60,13.10
,,,,,,,,
TYRain_1880-1889_08_pt1/063,,,,,,,,
TYRain_1890-1899_13_pt1/190,,,,,,,,
,,,,,,,,
# Exact location not determined.,,,,,,,,
