BLAIRGOWRIE (PERTH ROAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO175447,Long,-3.344842,Lat,56.586936,Elevation,262,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5566/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,1.97,3.44,4.78,1.94,3.58,3.66,3.52,4.2,2.18,1.9,4.25,,,,,,,,,
February,,,,,,,,,,,4.39,1.93,1.61,0.57,2.91,1.5,1.9,3,2.46,3.63,3.25,,,,,,,,,
March,,,,,,,,,,,1.42,1.93,0.64,0.42,1.29,1.54,4.31,0.97,1.69,2.08,2.27,,,,,,,,,
April,,,,,,,,,,,1.43,1.51,1.39,2.58,1.29,0.19,3.53,1.29,1.59,1.81,,,,,,,,,,
May,,,,,,,,,,1.2,2.77,3.68,2.85,1.66,4.52,1.82,4.06,3.76,1.75,1.04,,,,,,,,,,
June,,,,,,,,,,0.91,0.84,1.4,1.96,2.36,3.25,4.11,2.78,4.29,1.75,1.58,,,,,,,,,,
July,,,,,,,,,,6.05,3.23,3.45,2.04,3.22,3.3,3.26,4.25,4.24,1.89,4.01,,,,,,,,,,
August,,,,,,,,,,1.13,2.84,3.1,4.52,1.87,1.89,4.01,0.1,8.39,2.92,3.66,,,,,,,,,,
September,,,,,,,,,,1.95,1.41,3.78,3.68,2.45,3.77,4.19,3,3.2,1.34,5.14,,,,,,,,,,
October,,,,,,,,,,3.82,3.69,2.62,4.59,3.56,4.74,0.24,2.03,3.5,3.63,1.13,,,,,,,,,,
November,,,,,,,,,,5.37,3.82,0.49,1.01,3.93,1.15,5.92,2.33,1.37,2.99,2.64,,,,,,,,,,
December,,,,,,,,,,2.06,2.07,2.97,1.84,2.16,4.83,3.18,1.04,5.4,2.65,1.63,,,,,,,,,,
Total,,,,,,,,,,,29.88,30.3,30.91,26.72,36.52,33.62,32.85,43.61,26.84,30.25,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Apr Estd Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Jan Estd for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Feb Mar Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 May Estd ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5566/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,877080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
