PRESTWICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS347261,Long,-4.61857,Lat,55.500635,Elevation,17,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5220/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.96,2.33,3.68,1.36,3.21,3.24,4.13,2.66,2.08,0.57,4.18,3.81,3.06,3.48,3.61,2.74,5.81,3.67,2.64,3.53,3.8,2.12,3.41,2.49,2.5,4.24,3.32,1.21,
February,,0.01,3.09,0.36,3.96,1.38,3.7,1.09,3.15,1.35,1.41,1.24,2.94,0.85,4.3,2.04,0.33,2.19,3.2,2.77,2.56,1.4,1.13,2.31,1.31,0.9,2.13,3.32,1.56,
March,,2.4,2.5,2.2,1.76,1.31,0.66,2.11,2.66,4.22,2.61,1.68,1.72,0.31,2.13,1.39,2.55,3,1.8,2.12,2.87,1.85,0.69,1.83,1.05,1.23,3.94,0.93,1.97,
April,,3.08,1.52,2.16,2.43,0.59,1.53,0.3,1.78,1.7,1.18,1.02,2.71,2.8,1.63,1.1,3.87,1.64,3.55,2.75,1.9,1.37,1.21,0.88,2.34,0.9,2.23,1.16,1.7,
May,,3.09,2.02,2.78,0.73,2.15,1.05,2.54,0.6,1.1,2.39,2.29,3.09,2.25,3.6,1.02,4.87,1.04,1.93,1.31,1.66,1.69,1.67,1.85,2.65,1.46,1.9,2.59,1.14,
June,,1.36,1.63,2.07,2.89,2.39,2.37,3.31,1.59,1.12,0.82,1.47,2.81,2.63,3.58,1.89,2.78,5.12,1.01,2.16,1.54,2.18,0.94,3.28,2.81,1.94,2.13,2.68,3.53,
July,,3.35,3.06,1.96,0.74,4.92,4.72,3.98,4.48,2.98,3.13,2.46,2.12,2.67,2.59,2.72,3.05,2.73,1.7,4.41,1.61,2.38,3.47,4.16,1.27,4.05,3.82,4.67,3.99,
August,,1.34,2.17,2.73,1.61,3.59,2.27,2.04,3.33,1.83,3.93,3.49,4.71,2.57,1.76,1.39,0.28,4.94,3.39,3.04,3.35,5.24,2.86,3.41,1.62,6.27,4.14,4,,
September,,4.01,1.05,3.68,4.5,3.23,1.87,3.4,1.83,4.67,1.48,3.88,1.94,4.67,3.48,4.59,3.86,5.1,1.28,7.74,2.42,2.4,3.1,4.35,2.88,3.58,3.6,3.38,,
October,,4.55,2.42,5.74,5.89,3.6,3.18,6.7,1.12,3.69,3.1,3.7,4.56,4.17,3.98,0.76,1.81,3.99,4.94,3.57,0.85,3.36,2.83,7.9,1.72,3.3,3.74,,,
November,,3.07,1.48,0.77,3.47,2.85,0.37,4.73,6.28,3.97,1.79,0.58,1.96,5.39,0.27,5.08,5.35,2.79,4.64,2.89,4.78,2.11,4.68,4.28,1.81,1.3,1.91,1.53,,
December,,6.45,1.36,4.67,2.54,4.23,2.07,1.65,1.9,3.89,1.59,3.9,2.06,3.94,2.36,2.68,2.46,4.17,6.47,1.08,5.27,3.06,3.62,4.24,4.34,3.64,2.4,3.67,,
Total,,36.67,24.63,32.8,31.88,33.45,27.03,35.98,31.38,32.6,24,29.89,34.43,35.31,33.16,28.27,33.95,42.52,37.58,36.48,32.34,30.84,28.32,41.9,26.29,31.07,36.18,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5220/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,16645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd No,645502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
