"PRESTWICK",,,,,,,,,,,,
Grid ref,NS347261,Long,NaN,Lat,NaN,,,,,,,
Station no,5220/7,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,4.37,3.70,,
February,,,,,,,,,2.13,2.53,,
March,,,,,,,,,4.00,2.22,,
April,,,,,,,,,1.62,3.11,,
May,,,,,,,,,1.25,1.58,,
June,,,,,,,,,2.26,3.00,,
July,,,,,,,,,2.54,3.88,,
August,,,,,,,,,2.27,2.19,,
September,,,,,,,,,3.87,1.58,,
October,,,,,,,,,0.83,7.82,,
November,,,,,,,,,2.88,1.39,,
December,,,,,,,,,3.06,4.63,,
Total,,,,,,,,,31.08,37.63,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.08,37.63,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
