PRESTWICK,,,,,,,,,,,,,,,,,,,,
Grid ref,NS347261,Long,-4.61857,Lat,55.500635,Elevation,30,ft,,,,,,,,,,,,
Station no,5220/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,4.37,3.7,3.25,,,,,,,,,
February,,,,,,,,,2.13,2.53,4.35,,,,,,,,,
March,,,,,,,,,4,2.22,1.28,,,,,,,,,
April,,,,,,,,,1.62,3.11,2.62,,,,,,,,,
May,,,,,,,,,1.25,1.58,2.48,,,,,,,,,
June,,,,,,,,,2.26,3,1.54,,,,,,,,,
July,,,,,,,,,2.54,3.88,3.62,,,,,,,,,
August,,,,,,,,,2.27,2.19,5.42,,,,,,,,,
September,,,,,,,,,3.87,1.58,1.58,,,,,,,,,
October,,,,,,,,,0.83,7.82,1.83,,,,,,,,,
November,,,,,,,,,2.88,1.39,4.26,,,,,,,,,
December,,,,,,,,,3.06,4.63,2.51,,,,,,,,,
Total,,,,,,,,,31.08,37.63,34.74,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location approx,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd No,,,,,,,,,,,,,,,,,,,,
