OLRIG HOUSE,,,,,,,,,,,,
Grid ref,ND185663,Long,-3.403155,Lat,58.577043,,,,,,,
Station no,RR8926,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.00,3.00,,,,,,,,,,
February,2.30,4.00,,,,,,,,,,
March,2.20,2.00,,,,,,,,,,
April,2.00,3.30,,,,,,,,,,
May,2.00,1.30,,,,,,,,,,
June,0.90,3.25,,,,,,,,,,
July,5.00,2.50,,,,,,,,,,
August,3.00,4.30,,,,,,,,,,
September,3.60,1.30,,,,,,,,,,
October,5.50,3.40,,,,,,,,,,
November,4.00,4.70,,,,,,,,,,
December,4.40,5.00,,,,,,,,,,
Total,37.90,38.05,,,,,,,,,,
Calc annual,37.90,38.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
