BRAUGHING,,,,,,,,,,,,
Grid ref,TL402251,Long,0.036633,Lat,51.906802,,,,,,,
Station no,968/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.39,2.72,2.46,,
February,,,,,,,,2.95,0.05,1.84,,
March,,,,,,,,1.15,2.02,1.02,,
April,,,,,,,,1.13,2.46,0.47,,
May,,,,,,,,2.39,0.68,1.17,,
June,,,,,,,,5.99,0.97,1.78,,
July,,,,,,,,3.28,4.32,2.72,,
August,,,,,,,1.77,2.95,0.61,3.08,,
September,,,,,,,3.21,3.09,0.11,4.50,,
October,,,,,,,2.29,2.53,2.08,5.84,,
November,,,,,,,2.21,2.10,2.54,3.09,,
December,,,,,,,2.07,2.94,4.84,3.30,,
Total,,,,,,,,32.89,23.40,31.27,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,11.55,32.89,23.40,31.27,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
