PETERSFIELD-SUNWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU760193,Long,-0.91898,Lat,50.96813,Elevation,479,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,1.84,1.06,3.4,1.65,4.36,6.66,0.68,5.42,1.78,1.54,4.68,8.03,4.93,4.73,6.15,2.01,3.87,5.38,7.23,,,,
February,,,,,,,,,1.55,0.48,5.23,2.37,3.88,1.48,6.92,7.52,5.52,1.24,2.03,3.5,0.76,0.32,4.08,7.09,0.55,6.9,2.68,,,,
March,,,,,,,,,3.73,5.5,1.46,3.04,5.84,3.79,6.1,0.98,3.64,2.85,1.66,6.47,3.46,1.57,2.9,2.3,2.25,0.62,0.74,,,,
April,,,,,,,,,2.71,1.76,2.61,1.97,0.04,3.35,1.76,1.66,1.05,2.37,2.37,2.82,,1.37,4.4,4.3,4.11,3.9,3.56,,,,
May,,,,,,,,,2.41,2.44,1.95,2.97,1.31,3.02,1.34,4.15,1.92,2.09,1.72,0.73,1.47,2.65,1.14,2.51,5.33,5.79,2.68,,,,
June,,,,,,,,,1.18,2.93,3.37,2.04,4.34,0.85,0.7,1.58,2.62,3.34,1.25,0.69,2.25,0.11,1.6,0.46,3.55,0.03,3.07,,,,
July,,,,,,,,,3.34,3.03,3.13,0.97,2.97,2.19,3.8,5.41,1.14,3.82,6.11,1.8,6.63,0.41,4.55,1.11,5.1,3.78,2.12,,,,
August,,,,,,,,,5.51,2.58,4.43,0.56,7.32,1.66,2.78,2.21,3.32,7.75,1.78,3.5,1.83,2.69,2.85,3.43,3.59,5.14,1.45,,,,
September,,,,,,,,,2.14,3.46,0.19,1.87,4.63,2.98,1.85,2.65,2.56,2.04,6.93,2.06,2.89,1.03,2.43,2.75,6.25,3.34,0.76,,,,
October,,,,,,,,8.05,3.08,9.43,4.36,5.55,4.52,5.81,2.93,4.39,6.74,5.71,2.1,0.47,4.26,0.79,1.36,7.02,5.08,5.3,2.86,,,,
November,,,,,,,,2.99,1.51,0.63,4.74,5.57,2.2,4.07,4.37,3.76,5.47,1.34,3.39,2.83,2.22,2.84,2.77,1.62,3.65,4.54,9.43,,,,
December,,,,,,,,4.21,4.52,5.52,7.37,11.65,5.5,2.26,11.6,10.36,4.08,1.6,4.06,7.82,4.22,2.36,4.9,4.61,6.38,4.21,0.21,,,,
Total,,,,,,,,,33.52,38.82,42.24,40.21,46.91,38.12,44.83,50.09,39.84,35.69,38.08,40.72,,20.87,39.13,39.21,49.71,48.93,36.79,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On northern edge of South Downs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read first of each month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907 Oct 1 Found a leakage which affected first 9 months and amounts must be taken with some reserve - deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908 Nov 25 Inspection In field on Down Well exposed Recommend fence 2ft high 6ft diameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Apr Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
