"PETERSFIELD SUNWOOD",,,,,,,,,,,,
Grid ref,SU759193,Long,-0.920467,Lat,50.968128,,,,,,,
Station no,RR4773,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.17,1.84,1.06,,
February,,,,,,,,1.93,1.55,0.48,,
March,,,,,,,,1.09,3.73,5.50,,
April,,,,,,,,4.87,2.71,1.76,,
May,,,,,,,,2.49,2.41,2.44,,
June,,,,,,,,3.28,1.18,2.93,,
July,,,,,,,,2.48,3.34,3.03,,
August,,,,,,,,2.14,5.51,2.58,,
September,,,,,,,,0.61,2.14,3.46,,
October,,,,,,,6.10,8.05,3.08,9.43,,
November,,,,,,,5.43,2.99,1.51,0.63,,
December,,,,,,,2.45,4.21,4.52,5.52,,
Total,,,,,,,,35.31,33.52,38.82,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,13.98,35.31,33.52,38.82,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
