PETERHEAD (FOREHILL WORKS),,,,,,,,,,
Grid ref,NK 096 463,Long,-1.84189,Lat,57.5067,Elevation,132,ft,,
Station no,5656,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.45,4.24,1.87,3.55,4.38,3.81
February,,,,,2.65,1.54,1.76,3.34,0.28,2.5
March,,,,,1.8,0.91,2.34,2.63,1.55,0.89
April,,,,,0.78,0.85,1.37,0.93,2.06,2
May,,,,,3.2,0.4,1.24,2.34,1.11,1.06
June,,,,,0.81,0.74,2.4,1.43,1.09,2.21
July,,,,,0.24,5.22,5.12,3.51,2.07,3.07
August,,,,,0.18,2.5,4.16,2.32,1.14,4.2
September,,,,,1.78,1.89,2.66,2.05,0.89,1.89
October,,,,,4.4,3.43,1.81,2.01,4.31,4.97
November,,,,,1.67,1.86,1.48,1.08,5.13,4.62
December,,,,4.19,4.43,3.31,3.26,2.96,4.01,1.95
Total,,,,,23.39,26.89,29.47,28.15,28.02,33.17
