NEWPORT-EDGMOND-HIGH- STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ722194,Long,-2.4134992,Lat,52.77147,Elevation,261,"ft,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,1.75,2.94,1.8,2.85,1.56,2.12,4.34,2.17,1.7,2.59,1.64,3.2,2.13,1.78,0.34,0.39,2.6,3.32,2.69,1.62,,,,,,,,,2.04,3.55,1.05,1.68,1.02,3.23,2.54,1.77,0.87,1.67,2.11,0.92,3.24,1.85,1.24,1.39,1.87,0.48,3.25,3.35,1.25,3.08,1.05,,,
February,,,,,,,1.76,1.29,2.15,2.42,1.6,1.81,2.93,0.73,2.09,1.61,2.14,2.15,0.95,2.48,2.42,3.12,2.62,2.23,1.55,1.95,,,,,,,,,2.09,0.28,0.8,2.33,1.57,1.9,3.92,1.39,1.11,1.56,3.49,0.67,1.8,1.19,1.51,0.58,2.38,1.42,1.04,0.92,1.82,2.59,3.71,,,
March,,,,,,,1.71,2.56,1.79,1.55,1.51,0.82,1.99,3.04,0.92,0.59,2.62,2.3,0.74,0.69,0.95,2.48,1.78,1.31,2.54,1.15,,,,,,,,,1.08,1.94,2.47,2.41,1.21,0.76,0.9,2.01,1.61,3.8,1.41,3.25,1.7,1.07,3,2.47,0.48,1.39,3.54,4.44,2.16,0.82,2.88,,,
April,,,,,,,0.58,2.43,2.33,1.77,1.14,2.62,3.15,0.68,0.83,0.48,3.36,2.23,1.71,2.55,1.6,0.77,2.89,0.81,1.84,,,,,,,,,,1.27,1.76,1.19,2.05,1.43,2.29,0.8,1.98,1.98,1.56,1.29,1.63,1.69,1.56,2.42,1.8,1.95,0.79,0.2,2.96,0.85,1.4,1,,,
May,,,,,,,1.62,1.75,1.34,5.39,0.93,1.27,2.05,2.17,1.53,2.01,0.69,2.06,6.2,2.34,2.5,1.98,1.87,1.2,1.21,,,,,,,,,,2.04,0.93,0.43,1.16,2.74,2.16,2.01,0.7,3.12,2.81,2.05,0.89,2.04,3.23,2.54,0.99,2.04,0.75,2.19,1.87,1.32,2.54,2.19,,,
June,,,,,,,3.02,1.81,0.17,1.35,0.6,2,6.41,2.97,0.69,3.02,2.66,1.2,3.02,5.2,2.85,2.49,5.21,2.5,1.71,,,,,,,,,,2.45,1.09,1.92,2.85,1.17,3.49,2.38,2.79,1.9,1.39,0.83,2.03,2.5,3.24,2.85,2.62,1.55,2.15,4.93,1.05,1.7,1.46,1.69,,,
July,,,,,,,1.85,2.97,0.33,0.54,1.01,3.24,4.2,2.64,0.61,6.89,2.63,5.54,2.09,3.47,6.48,1.76,3.84,2.18,3.7,,,,,,,,,,3,3.02,1.94,1.05,0.81,1.88,2.11,3.94,1.5,2.63,1.77,1.5,0.67,3.71,3.22,3.93,2.78,0.29,2.2,1.28,3.54,6.42,1.63,,,
August,,,,,,,4.98,1.55,3.68,1.92,1.91,2.76,3.41,2.6,2.44,3.36,2.69,4.1,4.67,5.44,1.05,4,2.24,1.14,2.28,,,,,,,,,,3.06,2.17,2.62,2.54,4.35,1.25,4.91,2.32,4.65,4.42,3.58,5.03,3.06,2.6,3.06,2.69,4.01,2.09,6,2.15,2.74,2.86,2.93,,,
September,,,,,,,5.85,2.11,2.64,5.71,0.87,5.36,3.78,1.86,2.61,3.52,4.65,2.17,2.3,1.99,3.03,1.63,1.66,6.13,2.16,,,,,,,,,,0.72,0.75,3.38,2.58,0.94,2.82,0.85,1.21,1.34,4.19,1.66,0.97,1.27,1,2.39,2.53,0.41,1.77,1.42,1.64,1.45,0.89,1.21,,,
October,,,,,,,1.98,3.62,2.81,2.35,4.22,3.47,5.59,2.74,1.89,3.43,2.4,2.56,2.3,1.45,4.37,2.37,5.27,2.89,1.46,,,,,,,,,,2.62,2.5,2.89,1.23,2.91,3.04,3.38,2.45,3.11,5.06,0.58,1.32,4.48,4.64,1.74,3.83,2.65,2.08,2.55,3.66,1.54,2.01,3.72,,,
November,,,,,,,2.83,1.17,0.99,2.45,2.46,0.99,3.37,1.64,3.17,5.09,3.67,2.58,2.96,1.03,2.28,2.52,4.32,3.69,1.89,,,,,,,,,,2.58,2.59,1.38,2.04,1.58,1.47,2.56,1.56,1.9,2.63,1.3,2.63,2.5,2.48,1.72,0.74,4.06,2.83,2.62,2.19,3.04,2.38,2.46,,,
December,,,,,,,1.7,2.31,5.96,2.99,2.59,1.46,3.73,0.55,2.5,3,4.52,1.62,2.7,0.93,3.08,2.84,3.62,0.83,1.98,,,,,,,,,,2.28,1.86,3.03,2.21,2.1,2.37,3.32,3.55,1.66,1.69,1.94,0.62,2.69,2.07,2.53,4.04,4.56,4.22,2.26,1.19,6,4.31,2.14,,,
Total,,,,,,,29.63,26.51,25.99,31.29,20.4,27.92,44.95,23.79,20.98,35.59,33.67,31.71,31.77,29.35,30.95,26.35,37.92,28.23,25.01,,,,,,,,,,25.23,22.44,23.1,24.13,21.83,26.66,29.68,25.67,24.75,33.41,22.01,21.46,27.64,28.64,28.22,27.61,28.74,20.26,32.2,26.7,27.41,30.76,26.61,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is 20 High Street Edgmond where the observer J Bodenham lived according to the 1911 census. The observer lived in Newport Edgmond for all of the observations but for the period 1866 to 1885 it might have been elsewhere on the High Street, note the altitude is quoted as 250 ft. on these early records and it is likely that the location is within 100 to 200 yards of 20 High St.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are two gauges at this location apparently located next to each other. There are a suspiciously high number of monthly results that match exactly, which suggests that readings have been duplicated either in error or because one or other of the gauges has not been read. There are 4 matches in 1907 and 1908, 3 in 1913, 8 in 1914, 5 in 1914 and 6 in 1915; the other years have 0 to 2 matches which are plausible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
