NEWPORT-EDGMOND-HIGH- STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ723194,Long,-2.412017,Lat,52.771475,Elevation,225,"ft,",,,,,,,,,,,,
Station no,RR1275,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,,,,,,,,,1.86,2.24,3.68,2.08,,,,,,,,
February,,,,,,,,,1.5,2.12,2.04,0.31,,,,,,,,
March,,,,,,,,,1.2,4.65,2.03,1.17,,,,,,,,
April,,,,,,,,,2.03,1.6,4.3,1.48,,,,,,,,
May,,,,,,,,,3.31,0.82,3.06,1.61,,,,,,,,
June,,,,,,,,,0.92,1.2,2.97,0.31,,,,,,,,
July,,,,,,,,,2.87,2.32,4.33,0.8,,,,,,,,
August,,,,,,,,,1.61,2.36,1.54,3.49,,,,,,,,
September,,,,,,,,,5.78,2.06,2.4,0.55,,,,,,,,
October,,,,,,,,,1.48,3.08,2.9,2.6,,,,,,,,
November,,,,,,,,,1.46,1.51,0.68,2.53,,,,,,,,
December,,,,,,,,,3.32,3.1,2.34,2.12,,,,,,,,
Total,,,,,,,,,27.34,27.06,32.27,19.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is Bayley Hill Farm, which is slightly higher (250ft)  than the stated altitude (225 ft). There is a note saying the gauge is next to Mr Bodenham's house",,,,,,,,,,,,,,,,,,,,
