VIRGINIA-WATER-LYNE-GROVE,,,,,,,,,,
Grid ref,TQ006667,Long,-0.55555935,Lat,51.390434,Elevation,125,ft.,,
Station no,RR8451,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,2.96,1.01,0.92,2.58,2.84,0.94,3.68,0.7,1.89,
February,4.25,1.53,0.97,1.21,2.7,0.71,1.88,1.39,1.12,
March,1.06,1.84,1.98,2.6,1.19,3.5,1.25,0.99,2.66,
April,0.96,2.22,0.91,2.15,1.12,1.45,0.47,3.27,3.15,
May,1.3,0.51,2.1,2.62,2.57,0.47,2.42,1.7,1.68,
June,2.68,1.52,4.15,6.9,0.71,4.45,2.13,2.37,1.37,
July,0.85,1.66,1.41,4.18,2.41,0.37,0.34,1.35,2.07,
August,2.33,1.96,3.8,3.46,1.74,3.06,0.51,2.15,2.56,
September,0.54,1.03,1.46,2.74,1.5,2,1.7,0.7,1.57,
October,1.92,1.72,1.57,7.13,1.54,1.48,4.28,4.29,1.79,
November,1.65,0.5,1.9,1.86,1.79,2.83,3.64,2.25,0.82,
December,2.77,3.46,1.33,1.91,2.36,0.81,2.47,3.29,2.3,
Total,23.27,18.96,22.5,39.34,22.47,22.07,24.77,24.45,22.98,
,,,,,,,,,,
"NGR is Lyne Grove. Stated altitude of 150 ft. is 25 ft. too high, OS figure used",,,,,,,,,,
