ST-MELLONS-DRUIDSTONE,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST241833,Long,-3.0958774,Lat,51.543472,Elevation,200,ft.,,,,,,,,,,,,,
Station no,4002,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,2.06,5.56,4.04,7.5,4.5,8.82,1.89,6.82,2.74,5.51,2.81,,,,,,,
February,,,,7.68,0.59,5.15,3.28,4.01,4.04,1.87,0.6,2.9,0.09,5.03,,,,,,,
March,,,,1.91,2.11,0.33,0.31,3.52,4.81,0.69,2.84,1.09,2.36,3.89,,,,,,,
April,,,,2.88,3.62,2.31,2.19,1.66,1.71,0.52,3.47,3.14,4.9,1.95,,,,,,,
May,,,,2.54,5.46,5.09,1.96,1.08,0.98,3.26,1.78,7.64,5.36,3.47,,,,,,,
June,,,,0.84,2.6,0,2.06,3.51,2.74,2.27,0.79,3.36,1.58,1.35,,,,,,,
July,,,,2.27,6.04,4.76,2.2,5.79,2.68,2.29,3.21,4.08,4.22,2.61,,,,,,,
August,,,,4.43,5.95,4.71,4.29,5.24,4.11,3.8,5.8,4.63,1.4,1.41,,,,,,,
September,,,,3.6,5.91,5.1,1.03,7.4,0.71,0.46,4.02,1.33,4.99,,,,,,,,
October,,,,6.05,5.93,5.98,3.92,3.79,7.22,6.28,4.68,0.8,6.84,,,,,,,,
November,,,,4.05,3.38,2.53,8.67,5.77,4.73,10.94,4.73,7.28,2.22,,,,,,,,
December,,,,3.98,7.5,4.09,0.25,3.75,4.59,8.66,4.79,2.6,2.61,,,,,,,,
Total,,,,42.29,54.65,44.09,37.66,50.02,47.14,42.93,43.53,41.59,42.08,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is Druidstone. Altitudes match,,,,,,,,,,,,,,,,,,,,,
