WALTHAM ABBEY (GUNPR. FACTORY),,,,,,,,,,,,
Grid ref,TL375013,Long,-0.012020,Lat,51.693618,,,,,,,
Station no,1238,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.13,1.71,0.87,0.98,2.19,3.64,1.19,2.35,1.98,1.80,,
February,5.14,0.58,1.50,2.32,1.38,0.33,3.18,2.72,0.05,2.01,,
March,2.89,2.75,0.49,1.96,1.18,0.91,1.10,0.87,1.70,1.29,,
April,2.63,1.07,2.49,0.38,0.36,1.16,0.18,1.24,2.38,0.55,,
May,2.27,1.32,1.34,1.80,4.25,0.74,0.75,3.01,1.01,1.94,,
June,0.60,1.38,1.73,2.83,2.35,2.55,1.09,5.22,1.09,1.20,,
July,0.81,0.68,3.08,2.85,0.17,3.46,3.21,2.72,1.73,3.89,,
August,5.56,2.92,1.69,3.63,1.48,3.85,1.65,2.87,1.44,2.91,,
September,3.19,3.09,1.80,1.71,1.65,2.35,2.56,3.80,0.05,3.95,,
October,0.70,1.65,2.99,2.37,3.62,2.42,2.00,2.56,1.83,5.89,,
November,4.36,4.03,0.89,3.74,0.72,0.56,2.44,1.76,2.73,3.69,,
December,1.36,2.14,0.79,1.99,1.66,2.62,2.08,2.75,3.29,2.60,,
Total,31.64,23.32,19.66,26.56,21.01,24.59,21.43,31.87,19.28,31.72,,
Calc annual,31.64,23.32,19.66,26.56,21.01,24.59,21.43,31.87,19.28,31.72,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
