"WALTHAM ABBEY GUNPOWDER FACTORY",,,,,,,,,,,,
Grid ref,TL375014,Long,-0.011981,Lat,51.694516,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.80,0.44,0.76,1.80,2.24,1.47,3.94,0.94,1.42,0.97,,
February,3.30,0.75,1.23,0.70,2.77,1.14,2.25,1.31,1.70,0.60,,
March,0.60,2.36,1.56,2.35,1.40,3.16,1.32,0.96,2.95,2.85,,
April,0.85,1.88,0.49,1.20,0.82,2.03,0.57,3.04,2.85,1.89,,
May,1.04,1.40,2.75,2.29,2.07,1.80,1.44,2.02,2.23,1.39,,
June,2.04,0.38,4.00,6.13,1.02,3.58,3.13,1.77,1.56,3.49,,
July,1.37,2.27,1.13,5.69,2.59,1.86,1.40,2.08,4.29,3.72,,
August,1.80,1.42,4.47,4.12,1.97,2.62,0.68,2.06,3.03,1.99,,
September,0.97,1.68,1.14,2.70,1.22,2.02,1.55,0.99,2.32,2.34,,
October,2.11,1.76,1.12,5.62,1.47,1.60,3.69,2.99,1.83,3.88,,
November,1.80,0.52,1.51,2.16,1.59,3.11,4.20,2.28,0.69,0.87,,
December,2.85,3.20,1.31,1.49,1.78,0.92,2.43,3.41,2.20,2.82,,
Total,21.53,18.06,21.47,36.25,20.94,25.31,26.60,23.85,27.07,26.81,,
Calc annual,21.53,18.06,21.47,36.25,20.94,25.31,26.60,23.85,27.07,26.81,,
Difference,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
