ALFORD CEMETERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF458755,Long,0.184,Lat,53.257,Elevation,29,ft,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916
January,2.46,2.05,2.79,1.60,1.11,0.80,2.30,2.15,0.84,1.69,2.21,2.93,0.94,1.68,0.99,2.23,2.78,0.87,0.79,1.42,1.26,0.49,2.56,1.05,0.82,0.55,1.88,1.97,2.61,2.46,1.21,2.87,0.69
February,1.34,3.00,0.33,0.61,1.64,2.21,1.13,0.11,1.97,2.88,1.12,0.48,0.51,3.04,1.16,1.03,4.16,1.67,1.08,0.30,2.30,0.64,2.09,1.52,1.62,0.41,2.36,1.44,1.22,0.52,0.84,1.73,3.79
March,1.51,0.98,2.75,1.75,2.32,2.61,2.11,1.67,1.09,0.27,0.92,1.88,2.14,2.56,1.50,1.15,0.43,1.71,1.06,2.97,1.47,1.17,1.58,0.92,2.46,2.83,0.78,2.07,2.01,2.15,2.05,1.09,3.87
April,1.42,1.84,1.44,1.37,1.66,2.28,0.49,1.09,1.26,0.13,1.47,1.13,0.99,1.10,1.88,1.83,1.26,1.11,1.16,1.54,0.44,1.29,0.49,1.30,2.09,1.28,2.07,1.11,0.16,1.67,0.99,0.25,1.03
May,1.10,1.33,3.19,2.00,1.11,2.99,2.15,2.97,2.20,1.00,2.08,1.30,0.68,1.16,1.94,2.08,1.77,1.10,2.20,2.22,1.64,0.96,1.11,2.34,2.16,0.78,2.17,1.04,1.86,2.37,1.04,0.82,1.40
June,0.54,2.37,1.44,0.24,2.09,0.20,2.33,2.40,3.07,1.12,3.30,1.47,1.33,1.77,1.74,1.47,2.44,2.08,1.75,1.53,0.34,1.75,1.00,1.90,2.65,3.16,1.12,3.65,2.74,0.68,1.27,0.70,1.92
July,2.83,0.61,3.27,1.93,6.19,2.46,2.17,2.63,3.04,2.78,2.30,3.06,2.31,0.33,1.03,1.79,1.49,4.10,1.49,2.44,2.17,1.41,0.53,0.34,1.56,3.15,3.37,0.46,3.24,0.48,1.15,5.49,1.24
August,1.29,2.02,1.66,1.62,2.47,3.41,1.65,3.51,1.80,1.02,2.02,3.29,1.61,2.40,3.20,0.10,3.74,1.74,2.64,4.65,3.77,2.05,2.17,1.23,3.74,3.17,2.34,2.33,4.98,0.41,1.03,3.50,1.60
September,1.37,3.86,1.17,1.96,1.94,2.80,0.53,1.20,3.36,0.89,0.86,0.37,4.82,3.10,0.14,2.64,0.57,1.31,0.64,3.67,1.90,1.30,0.81,0.54,1.48,1.06,0.49,2.39,2.18,2.90,0.87,1.00,1.13
October,2.14,5.57,2.91,2.89,0.63,3.81,1.18,4.20,5.92,1.46,2.71,2.27,4.34,0.52,2.56,2.77,2.31,2.89,1.84,4.49,0.64,1.68,4.42,3.63,0.74,2.52,1.58,2.34,1.87,2.19,1.39,1.05,1.71
November,1.65,2.91,3.18,2.80,2.54,1.12,3.40,2.83,1.15,2.31,2.44,2.33,1.19,1.66,1.76,1.50,2.29,1.46,1.31,1.94,0.98,1.91,2.41,1.98,0.81,0.77,2.86,1.93,2.78,1.63,2.10,2.29,2.49
December,2.79,0.97,4.56,1.45,1.74,1.26,0.74,3.48,1.05,0.96,2.44,1.51,3.44,1.62,1.92,2.07,3.71,3.12,0.95,0.87,1.88,0.40,1.84,3.15,1.43,4.16,3.38,3.30,2.53,0.58,3.35,4.08,2.49
Total,20.44,27.51,28.69,20.22,25.44,25.95,20.18,28.24,26.75,16.51,23.87,22.02,24.30,20.94,19.82,20.66,26.95,23.16,16.91,28.04,18.79,15.05,21.01,19.90,21.56,23.84,24.40,24.03,28.18,18.04,17.29,24.87,23.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# British Rainfall lists the 1917-1919 Alford/Hodgson records as at 'Finsbery Street' - this is not shown on the 1910s rainfall sheet, which is just labelled 'Cemetery'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Alford has 'new' and 'old' cemeteries close to each other.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# This seems to be the 'new' cemetery, as there is a nearby chapel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
