"BURNHOPE (LODGEGILL MINE)",,,,,,,,,,,,
Grid ref,NY803375,Long,-2.307441,Lat,54.732090,,,,,,,
Station no,3536,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.10,9.10,2.00,5.80,4.90,6.80,11.50,6.50,,,,
February,6.90,2.20,1.60,4.20,4.20,5.00,6.00,8.75,,,,
March,5.70,3.20,1.10,4.30,3.20,5.30,5.25,4.00,,,,
April,4.80,3.20,4.30,1.20,3.30,2.00,1.00,2.00,,,,
May,3.20,2.20,7.10,6.00,6.50,3.00,2.75,5.00,,,,
June,2.40,2.80,4.60,4.70,4.00,4.00,2.00,3.75,,,,
July,3.20,4.00,6.10,4.50,3.10,5.50,6.75,5.50,,,,
August,6.10,7.40,6.10,8.50,2.00,12.50,9.00,5.00,,,,
September,5.10,6.60,7.30,7.10,4.00,6.50,5.50,5.50,,,,
October,1.30,7.70,4.00,12.00,4.00,4.50,6.00,6.50,,,,
November,12.60,4.70,6.20,11.50,3.10,2.70,4.10,1.50,,,,
December,10.50,5.80,2.60,12.80,11.00,11.00,7.00,7.00,,,,
Total,65.90,58.90,53.00,82.60,53.30,68.80,66.85,61.00,,,,
Calc annual,65.90,58.90,53.00,82.60,53.30,68.80,66.85,61.00,0.00,0.00,,
Difference,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,NaN,NaN,,
