BURNHOPE LODGE GILL MINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY801374,Long,-2.31054,Lat,54.731183,Elevation,1950,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,
January,,3.65,,,,,,,,,,,,,,,,,,,,,,6.8,5.65,8.65,8.1,6.9,13.2,2,9.45,,,,,,,,,,,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
February,,1.85,,,,,,,,,,,,,,,,,,,,,,9.3,1.9,8.05,6.9,3.05,5.2,1.35,2.1,,,,,,,,,,,,9.1,2,5.8,4.9,6.8,11.5,6.5,,
March,,4.12,,,,,,,,,,,,,,,,,,,,,,2.9,1.45,2.45,3.3,5.6,6.6,0.65,3.6,,,,,,,,,,,,2.2,1.6,4.2,4.2,5,6,8.75,,
April,,2.78,,,,,,,,,,,,,,,,,,,,,,3.4,2.9,6.05,3.3,5.2,1.3,2.05,3.3,,,,,,,,,,,,3.2,1.1,4.3,3.2,5.3,5.25,4,,
May,,1.5,,,,,,,,,,,,,,,,,,,,,,3.7,7.7,6.35,3.6,3,1.85,1.55,2.45,,,,,,,,,,,,3.2,4.3,1.2,3.3,2,1,2,,
June,,3.4,,,,,,,,,,,,,,,,,,,,,,2,2.95,0.35,5.1,5.7,8.9,2.9,2.55,,,,,,,,,,,3.2,2.2,7.1,6,6.5,3,2.75,5,,
July,,2.07,,,,,,,,,,,,,,,,,,,,,,3.75,7.6,2.25,7.85,5.6,3.8,6.1,5.95,,,,,,,,,,,2.4,2.8,4.6,4.7,4,4,2,3.75,,
August,,3.78,,,,,,,,,,,,,,,,,,,,,,10.8,5.55,4.5,5.4,8.95,10.35,6.25,9.2,,,,,,,,,,,3.2,4,6.1,4.5,3.1,5.5,6.75,5.5,,
September,,3.45,,,,,,,,,,,,,,,,,,,,,,5.1,9.05,5.4,6.2,9.8,3.1,2.5,5.9,,,,,,,,,,,6.1,7.4,6.1,8.5,2,12.5,9,5,,
October,,4.45,,,,,,,,,,,,,,,,,,,,,,10.5,5.7,8.55,5.05,7.2,8.4,7.75,9.2,,,,,,,,,,,5.1,6.6,7.3,7.1,4,6.5,5.5,5.5,,
November,6.1,8.47,,,,,,,,,,,,,,,,,,,,,,7.95,5.8,1.8,9.1,6.8,10.5,11.05,7.75,,,,,,,,,,,1.3,7.7,4,12,4,4.5,6,6.5,,
December,9.88,4.3,,,,,,,,,,,,,,,,,,,,,,4.85,10.8,8.25,1.8,3.55,4.25,11.6,5.95,,,,,,,,,,,12.6,4.7,6.2,11.5,3.1,2.7,4.1,1.5,,
Total,,43.82,50.45,91.2,52.35,,60.85,58.8,57.15,58.7,60.4,61.94,66,,68.85,,80.3,73.3,64.95,48.75,,,,71.05,67.05,62.65,65.7,71.35,77.45,55.75,67.4,,,,,,,,,,,10.5,5.8,2.6,12.8,11,11,7,7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Jan-Apr and Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
