BURNHOPE (LODGEGILL MINE) - new gauge,,,,,,,,,,
Grid ref,NY802325,Long,-2.308653,Lat,54.687154,Elevation,1950,ft,,
Station no,3536/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,6.5,6,9.25
February,,,,,,,,9.5,1.75,6.25
March,,,,,,,,4,3,4
April,,,,,,,,2,6.5,5
May,,,,,,,,5,1,2.75
June,,,,,,,,3.75,3.5,2.75
July,,,,,,,,5.5,5.42,7
August,,,,,,,9,5,1.1,3.5
September,,,,,,,5.75,5.5,2,4
October,,,,,,,6.25,7,6.52,10.5
November,,,,,,,4,1.5,9.5,10.25
December,,,,,,,7,7,12.05,7
Total,,,,,,,,62.25,58.34,72.25
