"BURNHOPE LODGE GILL MINE",,,,,,,,,,,,
Grid ref,NY801374,Long,-2.310540,Lat,54.731183,,,,,,,
Station no,3536,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,3.65,,,,,,,,,,
February,,1.85,,,,,,,,,,
March,,4.12,,,,,,,,,,
April,,2.78,,,,,,,,,,
May,,1.50,,,,,,,,,,
June,,3.40,,,,,,,,,,
July,,2.07,,,,,,,,,,
August,,3.78,,,,,,,,,,
September,,3.45,,,,,,,,,,
October,,4.45,,,,,,,,,,
November,6.10,8.47,,,,,,,,,,
December,9.88,4.30,,,,,,,,,,
Total,,43.82,50.45,91.20,52.35,,60.85,58.80,57.15,58.70,,
Calc annual,15.98,43.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,50.45,91.20,52.35,NaN,60.85,58.80,57.15,58.70,,
