LIVERPOOL STARFIELD - on summit of Observatory Dome,,,,,,,,,,
Grid ref,SJ368916,Long,-2.9513,Lat,53.4179,Elevation,148,ft,,
Station no,RR2213,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,1.27,,,,,,,
February,,,0.74,,,,,,,
March,,,2.51,,,,,,,
April,,,0.5,,,,,,,
May,,,2.91,,,,,,,
June,,,2.64,,,,,,,
July,,,4.6,,,,,,,
August,,,1.72,,,,,,,
September,,,2.44,,,,,,,
October,,,1.8,,,,,,,
November,,,3.46,,,,,,,
December,,,1.31,,,,,,,
Total,,,25.9,,,,,,,
,,,,,,,,,,
1842 total recorded as 25.98 - probably varied with rounding from original three decimal places,,,,,,,,,,
