BARNSNESS LIGHTHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT722772,Long,-2.44716,Lat,55.98696,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,1.21,2.89,2.53,0.69,2.02,0.51,1.98,1.14,1.74,0.77,1.31,2.6,1.04,2.19,2.55,2.86,1.9,1.75,1.67,2.67,1.68,0.68,1.1,0.56,2.26,1.73,2.05,1.22,1.49,,,,,,,,,,
February,,,0.98,4.27,3.92,1.08,0.67,1.11,0.71,1.63,2.27,0.53,2.31,0.5,0.92,2.5,2.42,0.35,2.62,1.86,1.21,0.5,1.95,2.17,0.53,2.58,2.08,0.34,1.25,0.85,1.11,,,,,,,,,,
March,,,1.07,1.84,1.92,1.59,1.63,1.11,3.37,4.93,0.58,1.13,1.87,1.83,1.68,1.69,4.03,0.87,0.76,1.66,2.31,1.16,1.14,1.02,0.42,1.98,0.56,1.31,1.98,0.16,1.88,,,,,,,,,,
April,,,1.36,1.05,1.27,1.91,1.02,1.66,1.15,2.87,1.33,0.57,0.13,1.61,0.54,0.57,1.42,1.9,0.49,1.8,1.42,0.39,1.41,1.59,0.32,1.93,1.26,1.15,0.6,1.82,0.86,,,,,,,,,,
May,,,2,0.77,2.57,0.59,6.73,2.43,2.65,2.12,1.6,0.54,2.18,2.25,1.31,1.04,3.65,1.61,2.2,0.4,2.74,0.87,0.36,1.18,4.04,2.93,1.48,1.64,0.7,1.15,0.26,,,,,,,,,,
June,,,3.37,1.33,1.61,0.57,1.26,4.18,0.78,1.26,0.76,1.81,2.91,0.93,1.03,1.44,3.48,0.91,0.33,1.92,0.3,0.26,1.23,0.74,1.29,0.35,1.81,1.86,3.71,1.31,0.93,,,,,,,,,,
July,,,2.19,4.8,1.28,1.69,1.82,1.84,2.65,2.33,2.39,0.57,1.32,0.27,1.97,3.16,3.33,1.55,3.05,0.22,1.77,1.58,2.91,2.72,3.14,2.27,3.11,2.15,1.59,2.4,4.19,,,,,,,,,,
August,,,1.17,3.35,2.16,2.76,5.26,2.1,0.94,2.29,3.16,0.56,2.94,0.92,3.09,3.07,2.64,5.66,1.45,1.55,3.92,3.15,1.34,3.04,1.55,1.95,1.23,4.71,3.26,3.39,3.63,,,,,,,,,,
September,,,0.95,2.42,2.43,1.88,0.58,1.36,3.08,1.77,0.71,0.89,0.95,1.69,0.57,2.96,1.02,1.88,3.6,1.56,0.86,1.75,1.77,1.33,2.86,3.47,3.57,4.4,1.39,0.16,3.7,,,,,,,,,,
October,,,1.94,5.99,0.75,2.66,6.82,4.88,1.06,1.99,2.77,1.99,2.56,1.29,1.56,1.3,3.38,2.16,1.8,1.68,0.92,2.78,2.38,1.59,3.59,1.22,3.4,1.96,1.81,2.26,1.8,,,,,,,,,,
November,,3.19,1.69,1.6,1.91,4.65,3.3,1.77,1.28,0.09,2.09,2.62,1.25,1.36,3.27,1.45,3.95,1.04,1.45,4.67,1.26,1.3,0.58,2.02,1.18,0.95,2.35,1.9,2.86,2.57,1.87,,,,,,,,,,
December,,3.55,3.19,1.66,1.56,0.69,2.58,2.65,0.39,2.92,1.19,2.85,0.59,0.84,6.11,4.52,2.58,1.24,1.85,2.81,3,1.19,1.57,2.31,1.8,1.92,0.25,1.98,1.32,2.54,0.81,,,,,,,,,,
Total,,,21.12,31.97,23.91,20.76,33.69,25.6,20.04,25.34,20.59,14.83,20.32,16.09,23.09,25.89,34.45,22.03,21.5,21.88,21.38,17.6,18.32,20.39,21.82,22.11,23.36,25.13,22.52,19.83,22.53,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No data for the 1930s, blank record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
