RHUM (ARD NEV),,,,,,,,,,
Grid ref,NM353988,Long,-6.36106,Lat,57.004219,Elevation,900,ft,,
Station no,5753/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,13.95,4.55,5.15
February,,,,,,,,5.3,3.05,6.45
March,,,,,,,,2.6,6.35,2.75
April,,,,,,,,4.75,5.1,6
May,,,,,,,,5.15,1.4,3.55
June,,,,,,,,3.5,7.6,6.45
July,,,,,,,,3.3,14.05,
August,,,,,,,,6.1,6.85,
September,,,,,,,,5.8,6.85,
October,,,,,,,,10.55,10.75,
November,,,,,,,7.35,7.15,10.35,
December,,,,,,,10.85,6.15,14.1,
Total,,,,,,,,74.3,91,
,,,,,,,,,,
,,,,,,,,,,
BR 1958 P,,,,,,,,,,
BR 1959 NP Check Gauge,,,,,,,,,,
,,,,,,,,,,
Station no,5753/2,,,,,,,,,
Midas,14173,,,,,,,,,
Hyd Stn,719697,,,,,,,,,
