RHUM (ARD NEV - OVERLAP),,,,,,,,,,
Grid ref,NM354987,Long,-6.359314,Lat,57.003381,Elevation,900,ft,,
Station no,5753/2/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.6,5.65
February,,,,,,,,,3.1,6.3
March,,,,,,,,,7.2,3.05
April,,,,,,,,,5.25,6.45
May,,,,,,,,,1.45,3.85
June,,,,,,,,,7.65,6.45
July,,,,,,,,,14.3,5.6
August,,,,,,,,,7,4.6
September,,,,,,,,6.18,7.05,7.45
October,,,,,,,,,10.85,2.15
November,,,,,,,,7.4,10.9,10.4
December,,,,,,,,6.5,15.35,11.65
Total,,,,,,,,,94.7,73.6
,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 P,,,,,,,,,,
,,,,,,,,,,
Station no,5753/2/1,,,,,,,,,
Midas,14173,,,,,,,,,
Hyd Stn,719697,,,,,,,,,
