BURNLEY BRIERCLIFFE,,,,,,,,,,,,,,,,,,,,
Grid ref,SD866349,Long,-2.2049768,Lat,53.810213,Elevation,680,ft,,,,,,,,,,,,
Station no,RR8886,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,0.45,0.48,4.41,5.98,6.16,,,,,
February,,,,,,,,,,,3.8,5.87,3.76,3.76,3.71,,,,,
March,,,,,,,,,,2.13,3.36,6.4,4.11,1.26,3.44,,,,,
April,,,,,,,,,,1.56,2.07,1.68,5.39,2.38,1.8,,,,,
May,,,,,,,,,,2.07,3,3.35,1.96,0.82,1.78,,,,,
June,,,,,,,,,,5.1,4.59,2.56,5.64,4.14,0.75,,,,,
July,,,,,,,,,,5.92,4.82,5.2,5.66,3.78,4.71,,,,,
August,,,,,,,,,,5.25,1.95,5.72,4.04,2.76,2.41,,,,,
September,,,,,,,,,,2.63,4.71,1.99,2.63,6.33,2.9,,,,,
October,,,,,,,,,,3.25,4.66,3.13,4.48,5.01,3.29,,,,,
November,,,,,,,,,,1.65,5.93,5.04,7.51,4.69,1.87,,,,,
December,,,,,,,,,,3.2,7.58,4.95,4.05,3.91,5.55,,,,,
Total,,,,,,,,,,,46.92,46.37,53.64,44.82,38.37,,,,,
