"LOCHCARRON, DUNHULLADALE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG 89798 39696,Long,-5.500199,Lat,57.398931,Elevation,9,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,11.42,11.84,5.02,5.35,,,13.71,6.76,14.41,5.49,6.92,8.63,10.74,12.87,1.58,10.19,13.47,12.36,7.62,10.07,10.56,4.06,7.97,11.16,5.17,0.83,1.25,7.95,6.23,11.66,7.7,7.54,5.63,,,
February,,,,,,5.45,7.65,1.73,10,,,8.18,7.97,3.33,8.31,7.37,4.63,3.02,7.63,1.41,0.87,9.69,1.07,7.86,6.95,9.26,2.95,6.51,9.08,11.09,4.1,5.83,4.24,11.57,4.7,8.46,7.5,0.36,,,
March,,,,,,8.46,3.56,5.31,3.09,,,10.73,4.62,2,1.96,6.58,10.87,6,4.24,2.44,4.53,0.71,4.2,2.32,4.55,5.92,4.21,2.08,17.79,7.46,4.35,2.28,3.89,5.15,7.11,8.03,2.44,1.29,,,
April,,,,,,8.66,5.63,6.53,2.55,,,3.38,4.26,4.18,5.07,6.04,3.4,11.18,3.03,4.4,2.99,4.42,7.42,12.42,4.76,2.62,2.35,1.8,2.37,4.42,4.63,3.83,1.27,7.17,4.73,4.5,6.07,10.56,,,
May,,,,,,1.78,3.7,2.01,3.11,,,4.92,9.65,6.12,3.51,5.52,3.98,4.11,1.56,3.61,4.22,4.17,2.49,2.16,6.96,1.96,2.32,2.52,4.67,2,2.27,2.12,2.61,4.11,5.84,4.17,1.36,1.49,,,
June,,,,,,0.72,3.34,2.86,4.36,,,2.95,5.31,5.85,6.9,3.27,3.9,5.54,5.02,5.14,4.69,6.93,1.83,3.83,3.2,3.08,2.14,4.44,7.97,2.69,3.27,2.3,5.89,4.91,8.3,5.71,5.78,5.16,,,
July,,,,,,4.41,3.74,2.5,8.44,,,5.49,5.86,6.53,4.87,3.84,3.72,3.94,7.7,3.8,2.59,5.43,7.08,5.18,6.37,5.39,5.91,4.72,6,7.41,8.45,6.79,8.22,3.68,1.84,5.34,9.34,3.8,,,
August,,,,,,5.6,2.65,6.86,11.71,,,3.95,4.36,9.27,6.64,3.75,5.87,4.49,4.66,8.17,11.51,2.52,6.21,8.7,8.34,5.57,4.88,3.58,5.75,4.03,7.83,10.17,8.59,5.67,4.4,4.32,5.56,0.08,,,
September,,,,,,3.21,4.35,7.68,8.42,,,5.34,3.23,7.77,7.54,6.74,7.27,8.33,4.89,8.3,3.93,1.8,8.84,1.6,7.45,11.41,3.98,6.65,5.74,2.7,8.22,3.73,7.47,5.73,5.7,7.02,5.93,10.57,,,
October,,,,,,2.17,9.09,14.49,12.32,,,9.03,3.73,12.79,5.56,5.62,7.73,10.46,9.79,14.93,12.06,7.18,10.09,6.97,14.91,13.52,11.01,3.94,14.94,0.93,7.13,6.61,10.15,11.57,8.64,3.76,1.21,3.58,,,
November,,,,,,3.9,11.21,15.66,5.95,,,2.45,7.56,8.13,4.41,3.59,5.81,7.82,9.34,6.86,11.28,6.87,9.25,4.47,4.76,5.27,5.39,2.71,14.23,9.73,8.85,6.81,5.21,7.76,6.25,1.82,6.14,10.7,,,
December,,,,,,5.86,6.61,5.43,9.74,,,15.66,8.2,9.49,11.07,7.49,7.53,0.3,7.88,10.64,7.54,12.74,7.52,2.05,7.39,4.34,14.33,1.6,7.04,4.69,10.61,9.52,12.53,5.51,9.44,5.7,6.73,3.92,,,
Total,,,,,,61.64,73.37,76.08,85.04,,,85.79,71.51,89.87,71.33,66.73,73.34,75.93,78.61,71.28,76.4,75.93,78.36,65.18,85.71,78.9,63.53,48.52,106.74,62.32,70.54,61.24,78.02,79.06,78.61,66.53,65.6,57.14,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Deleted estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Deleted estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
