WARE (COLLETT ROAD),,,,,,,,,,,,
Grid ref,TL358147,Long,-0.031371,Lat,51.814441,,,,,,,
Station no,957/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.09,3.53,0.86,2.25,2.12,2.31,,
February,,,,,1.74,0.63,2.55,3.00,0.08,1.72,,
March,,,,,1.38,0.83,1.17,1.05,2.14,1.13,,
April,,,,,0.40,1.25,0.23,1.35,2.58,0.48,,
May,,,,,4.47,0.44,0.71,2.54,0.96,1.22,,
June,,,,,2.39,3.24,1.92,5.71,1.26,1.79,,
July,,,,,0.14,3.34,3.42,3.37,2.34,3.06,,
August,,,,,1.48,4.98,1.46,2.76,1.52,2.88,,
September,,,,,1.64,1.83,2.95,3.27,0.08,4.44,,
October,,,,,3.78,1.79,1.98,3.02,2.01,5.62,,
November,,,,,0.83,0.82,2.09,1.85,2.56,3.37,,
December,,,,,2.04,3.20,2.10,2.60,4.07,2.92,,
Total,,,,,22.38,25.88,21.44,32.77,21.72,30.94,,
Calc annual,0.00,0.00,0.00,0.00,22.38,25.88,21.44,32.77,21.72,30.94,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,,
