WINDLESHAM-WESTWOOD,,,,,,,,,,,,,,,,,,,,
Grid ref,SU942646,Long,-0.6480683,Lat,51.372654,Elevation,300,ft,,,,,,,,,,,,
Station no,RR8427,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,0.71,2.42,3.17,0.8,3.77,1.15,1.81,0.82,1.98,1.23,,,,,,,,
February,,,1.42,1.1,3.17,0.79,1.8,1.49,1.28,0.21,3.08,1.39,,,,,,,,
March,,,1.89,2.85,1.78,3.51,1.6,1.07,3.4,3.49,1.02,1.57,,,,,,,,
April,,,0.86,2.15,1.26,1.58,0.54,3.18,3.74,2.25,1.41,1.89,,,,,,,,
May,,,2.22,3.26,3.03,1,1.77,1.03,1.75,1.68,1.8,1.25,,,,,,,,
June,,,3.37,6.67,1.02,4.34,2.88,3.74,1.33,4.46,2.47,1.97,,,,,,,,
July,,,1.05,4.16,2.72,0.44,0.33,1.2,1.57,2.52,2.19,0.51,,,,,,,,
August,,,3.29,3.05,1.59,2.99,0.47,3.26,2.3,1.92,2.22,0.41,,,,,,,,
September,,,1.79,2.53,1.58,1.96,1.5,0.84,1.39,3.45,0.51,1.38,,,,,,,,
October,,,1.63,7.8,1.57,1.22,3.7,5.48,2.5,4.41,3.43,3.19,,,,,,,,
November,,,2.4,2.02,1.73,3.25,3.92,2.18,0.9,0.51,3.01,3.72,,,,,,,,
December,,,1.51,2.19,2.73,0.86,2.42,3.16,2.14,2.31,4.13,6.17,,,,,,,,
Total,,,22.14,40.2,25.35,22.74,24.7,27.78,24.11,28.03,27.25,24.68,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Westwood House, stated altitude is slightly high but gauge is noted as being 11 ft above ground.",,,,,,,,,,,,,,,,,,,,
"Cannot connect the observer, Colonel G A Curzon to Westwood House or Westwood Lodge, which is 400m NW at a similar altitude.",,,,,,,,,,,,,,,,,,,,
