"KIRRIEMUIR (WESTERTON)",,,,,,,,,,,,
Grid ref,NO282598,Long,-3.174885,Lat,56.724324,,,,,,,
Station no,5580/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.20,2.30,1.10,2.90,2.10,3.70,4.60,4.30,2.20,4.40,,
February,4.80,1.50,1.10,4.90,1.80,1.40,4.30,2.25,0.70,5.60,,
March,2.00,5.00,0.80,4.10,1.60,3.50,3.80,4.80,3.70,3.00,,
April,2.70,1.80,2.40,1.00,0.90,1.00,1.60,1.10,4.20,4.60,,
May,1.70,4.00,2.00,5.80,2.30,1.00,2.50,3.80,1.00,2.70,,
June,2.40,2.80,2.60,2.00,1.70,3.50,1.70,3.30,3.20,2.90,,
July,2.90,2.80,3.70,3.40,0.80,4.50,6.90,4.00,3.90,3.55,,
August,5.10,3.00,2.50,2.40,0.80,5.85,4.90,4.70,1.40,6.60,,
September,3.00,1.20,4.80,4.20,1.80,5.80,2.80,4.90,1.00,3.84,,
October,1.10,4.80,2.30,6.70,2.70,2.60,2.10,3.20,4.30,10.10,,
November,12.00,2.30,3.50,8.30,2.60,1.50,1.90,1.20,8.70,6.00,,
December,3.80,2.80,5.20,5.20,7.50,7.20,5.80,7.60,10.20,2.90,,
Total,45.70,34.30,32.00,50.90,26.60,41.55,42.90,45.15,44.50,56.19,,
Calc annual,45.70,34.30,32.00,50.90,26.60,41.55,42.90,45.15,44.50,56.19,,
Difference,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
