EAST-ANSTEY-CHILTONS-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS877270,Long,-3.60286,Lat,51.031358,Elevation,950,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1836/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.99,7.88,6.9,10.07,4.01,5.48,6.22,9.42,5.59,4.64,4.86,4.45,12.28,2.89,2.27,6.62,,,,,,,,,
February,,,,,,3.32,7.91,2.12,2.98,4.51,5.61,0.64,3.53,2.09,5.96,4.13,1.16,3.25,3.16,9.37,6.21,,,,,,,,,
March,,,,,,4.11,4.98,0.6,2.27,3.82,5.81,3.52,2.01,0.54,1.74,1.74,6.56,3.11,2.7,2.35,5.66,,,,,,,,,
April,,,,,,2.7,4.02,0.28,4.52,3.5,1.46,1.83,1.47,2.79,1.23,3.64,4.07,3.26,2.91,3.14,4.78,,,,,,,,,
May,,,,,,0.87,2.41,3.6,1.2,1.94,2.64,6.22,3.79,1.76,5.05,4.79,3.81,4.18,4.42,2.17,3.16,,,,,,,,,
June,,,,,,3.16,1.71,2.76,3.09,0.96,1.5,0.65,2.81,4.74,5.77,4.81,3.51,2.95,1.24,2.59,2.03,,,,,,,,,
July,,,,,,8.55,2.61,4.21,8.4,6.56,2.44,2.99,4.35,3.57,3.28,3.56,3.03,3.01,3.32,7.94,1.45,,,,,,,,,
August,,,,,,1.48,1.94,5.51,3.73,0.5,8.54,5.88,6.02,5.63,2.84,6.11,0.95,5.02,5.17,8.77,5.32,,,,,,,,,
September,,,,,,5.54,3.51,1.84,0.83,3.19,0.7,4.14,4.91,4.31,3.79,6.54,2.87,3.28,2.5,8.2,4.29,,,,,,,,,
October,,,,,,3.14,3.98,7.74,4.4,5.98,4.66,5.42,4.65,8.45,5.71,2.16,1.4,6.71,9.28,2.39,2.57,,,,,,,,,
November,,,,,8.27,5.31,3.05,8.48,12.6,10.12,3.92,1.35,5.05,9.79,1.34,9.22,5.17,2.89,6.56,9.93,10.08,,,,,,,,,
December,,,,,6.02,4.53,4.02,6.71,3.6,5.15,3.8,6.57,3.82,5.93,7.32,5.52,5.83,6.64,5.41,4.21,5.08,,,,,,,,,
Total,,,,,,48.7,48.02,50.75,57.69,50.24,46.56,45.43,51.83,55.19,48.67,57.08,42.81,56.58,49.56,63.33,57.25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Previous observations at Enstone Litchfield Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Nov Dec Corrected for wrong day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Not printed Too high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station changed from Somerset Stn No 2110/5 to N/ Devon without gauge moving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 July 29 Inspection Funnel of gauge beginning to leak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station terminated on death of observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
