WATNALL,,,,,,,,
Grid ref,SK504457,Long,-1.2503553,Lat,53.00625,Elevation,389,ft
Station no,2617/3,,,,,,,
,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948
January,,1.2,4.25,2.46,2.07,2.58,2.76,5.83
February,,1.58,0.75,3.14,2.83,2.72,2.05,1.72
March,,2.01,0.67,0.25,1.29,1.05,5.65,0.76
April,,1.19,0.61,2.48,2.41,1.21,2.1,1.39
May,,3.78,3.34,1,2.47,1.48,1.58,2.31
June,,0.76,1.9,1.76,2.84,3.05,1.65,
July,,2.17,0.95,3.07,2.7,1.87,2.59,
August,3.47,2.07,2.23,3.37,2.27,5.76,0.22,
September,0.39,1.26,2.44,4.38,1.85,3.05,1.64,
October,2.76,1.83,1.71,2.72,3.57,1.12,0.3,
November,3.55,1.54,2.06,4.71,0.26,4.95,2.02,
December,2.46,4.23,0.99,1.43,1.93,2.95,2.5,
Total,,23.62,21.9,30.77,26.49,31.79,25.06,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Values 1941-1947 are in mm on TYR, converted to inches at concatenation (25.4mm=1inch)",,,,,,,,
,,,,,,,,
1948 Jun Gauge move,,,,,,,,
